section_bucket,designation,total_posts
HS_PLUS,P D Teacher (Senior Grade),291
HS_PLUS,High School Assistant Mathematics,250
HS_PLUS,P D Teacher (Selection Grade),224
HS_PLUS,High School Assistant Social Science,207
HS_PLUS,High School Assistant Hindi,145
HS_PLUS,High School Assistant Physical Science,131
HS_PLUS,High School Assistant Natural Science,127
HS_PLUS,High School Assistant Malayalam,123
HS_PLUS,High School Assistant English,113
HS_PLUS,High School Assistant English(HG),103
HS_PLUS,Physical Education Teacher,78
HS_PLUS,High School Assistant Arabic,66
HS_PLUS,High School Assistant Malayalam(HG),65
HS_PLUS,High School Assistant English (Snr Gr),54
HS_PLUS,High School Assistant Physical Science (HG),52
HS_PLUS,High School Assistant Social Science (HG),49
HS_PLUS,Headmaster/Headmistress (High School),46
HS_PLUS,Sewing Teacher,39
HS_PLUS,High School Assistant Natural Science (HG),38
HS_PLUS,High School Assistant,34
HS_PLUS,Drawing Teacher Gr II,32
HS_PLUS,High School Assistant Arabic (HG),31
HS_PLUS,High School Assistant Mathematics (HG),30
HS_PLUS,P D Teacher (HG),27
HS_PLUS,High School Assistant Urdu,23
HS_PLUS,High School Assistant Hindi(HG),20
HS_PLUS,High School Assistant Malayalam(Snr Gr),16
HS_PLUS,High School Assistant Social Science(HG),15
HS_PLUS,P D Teacher,14
HS_PLUS,High School Assistant Physical Science(HG),13
HS_PLUS,High School Assistant Sanskrit,13
HS_PLUS,High School Assistant Natural Science (Snr Gr),12
HS_PLUS,High School Assistant Physical Science(Snr. Gr),9
HS_PLUS,High School Assistant Hindi(Snr. Gr),9
HS_PLUS,High School Assistant (Lower Scale),8
HS_PLUS,High School Assistant Social Science (Snr Grade),7
HS_PLUS,Headmaster/Headmistress(Not Eligi HM 16980-31360),7
HS_PLUS,High School Assistant Urdu (HG),6
HS_PLUS,High School Assistant Mathematics (Snr Gr),6
HS_PLUS,Music Teacher,6
HS_PLUS,High School Assistant Arabic (Snr Gr),6
HS_PLUS,High School Assistant (HG),6
HS_PLUS,Physical Education Teacher (8 Years HG),6
HS_PLUS,Headmistress HG,6
HS_PLUS,"Workshop Instructor in Civil Engineering, Work experience (DTE)",5
HS_PLUS,High School Assistant Sanskrit(HG),5
HS_PLUS,High School Assistant Arabic (Sel. Gr),4
HS_PLUS,High School Assistant Social Science(Sel Gr),4
HS_PLUS,High School Assistant Mathematics(HG),4
HS_PLUS,Physical Education Teacher (Sr Gr),4
HS_PLUS,Music Teacher Gr II,4
HS_PLUS,Physical Education Teacher (Sel Gr),3
HS_PLUS,Physical Education Teacher (Grade-I),3
HS_PLUS,High School Assistant (Urdu) (Part Time with Full Time Benefit),3
HS_PLUS,High School Assistant Mathematics (8 Yrs HG),3
HS_PLUS,High School Assistant (Sanskrit) (Part Time),3
HS_PLUS,Workshop Instructor / Instructor Gr II,3
HS_PLUS,High School Assistant Natural Science (Sel Gr),2
HS_PLUS,High School Assistant Mathematics (Sel Gr),2
HS_PLUS,Physical Education Teacher(Before 11/04/2013),2
HS_PLUS,High School Assistant Urdu(HG),2
HS_PLUS,Needle Work Teacher,2
HS_PLUS,High School Assistant Mathematics(30700-65400),2
HS_PLUS,Headmaster/Headmistress,2
HS_PLUS,High School Asst (lower scale),2
HS_PLUS,High School Assistant Sanskrit(Snr Gr),2
HS_PLUS,Lecturer DIET (39500 - 83000),2
HS_PLUS,High School Assistant Hindi(Sel. Gr),2
HS_PLUS,Headmaster/Headmistress(Not Eligi HM 14620-25280),2
HS_PLUS,Headmaster/Headmistress(Not Eligi HM 18740-33680),2
HS_PLUS,High School Assistant (Sr Gr),1
HS_PLUS,Workshop Instructor II HG,1
HS_PLUS,"Workshop Instructor in Mechanical Engineering, Work experience (DTE)",1
HS_PLUS,High School Assistant (Sanskrit) (Part Time with Full Time Benefit) HG,1
HS_PLUS,High School Assistant (PD Teacher Sel Gr),1
HS_PLUS,Headmaster/Headmistress HG (School for Handicapped),1
HS_PLUS,Lecturer DIET (32300 - 68700),1
HS_PLUS,Headmaster/Headmistress(Not Eligi HM 16180-29180),1
HS_PLUS,High School Assistant(With Special Training) Snr Gr,1
HS_PLUS,Music Teacher (Senior Grade),1
HS_PLUS,Drawing Teacher Gr I,1
HS_PLUS,High School Assistant Malayalam(Sel. Grade),1
HS_PLUS,High School Assistant Physical Science(Sel Gr),1
HS_PLUS,Headmaster/Headmistress HG (High School),1
HS_PLUS,Drawing Teacher Snr Gr,1
HS_PLUS,High School Assistant(Urdu) Part Time,1
HS_PLUS,Drawing Teacher Sel Gr,1
HS_PLUS,High School Assistant(Before 11/04/2013),1
HS_PLUS,Physical Education Teacher (15 Yrs Higher Grade),1
LP,L P School Assistant,1418
LP,Teacher (L P School) Gr II,861
LP,L P School Assistant (HG),255
LP,Teacher (L P School) Gr I,227
LP,Teacher (L P School)(Snr Gr),169
LP,L P School Assistant (Snr Gr),138
LP,LPSA(13210),38
LP,Teacher (L P School)(Sel Gr),35
LP,L P School Assistant HG,27
LP,L P School Assistant (Sel.Gr),18
LP,L P School Assistant(Before 11/04/2013),11
LP,LPSA(11620-20240,3
LP,LPSA(16180-29180),2
LP_UP_SHARED,Teacher (LP/UP) - Arabic (Grade II),144
LP_UP_SHARED,Junior Arabic Teacher Gr II,135
LP_UP_SHARED,Headmaster/Headmistress LP/UP,115
LP_UP_SHARED,Headmaster LP/UP,93
LP_UP_SHARED,Teacher (LP/UP) - Hindi (Grade II),80
LP_UP_SHARED,Junior Arabic Teacher Gr I,71
LP_UP_SHARED,Teacher (LP/UP) - Arabic (Grade I),61
LP_UP_SHARED,Full time Hindi Teacher,59
LP_UP_SHARED,Headmaster LP/UP (HG),51
LP_UP_SHARED,Teacher (LP/UP) - Arabic (Senior Grade),46
LP_UP_SHARED,Junior Hindi Teacher Gr II,43
LP_UP_SHARED,Full time Arabic Teacher,43
LP_UP_SHARED,Primary Teacher (Arabic) (Part Time with Full Time Benefit),43
LP_UP_SHARED,Junior Arabic Teacher (Snr Gr),35
LP_UP_SHARED,Full time Arabic Teacher HG,34
LP_UP_SHARED,Primary Teacher (Arabic) (Part Time with Full Time Benefit) HG,27
LP_UP_SHARED,Teacher (LP/UP) - Arabic (Selection Grade),20
LP_UP_SHARED,Teacher (LP/UP) - Urdu (Grade II),15
LP_UP_SHARED,Junior Hindi Teacher (Sr Gr),12
LP_UP_SHARED,Primary Teacher (Arabic) (Part Time with Full Time Benefit) (Snr Gr),11
LP_UP_SHARED,Junior Arabic Teacher (Sel Gr),10
LP_UP_SHARED,Primary Teacher (Sanskrit) (Part Time),10
LP_UP_SHARED,Headmaster/Headmistress (HG) LP/UP,9
LP_UP_SHARED,Full time Arabic Teacher (Snr Gr),8
LP_UP_SHARED,Full time Urdu Teacher,8
LP_UP_SHARED,Primary Teacher (Urdu) (Part Time),8
LP_UP_SHARED,Teacher (LP/UP) - Hindi (Grade I),6
LP_UP_SHARED,Primary Teacher (Urdu) (Part Time with Full Time Benefit),6
LP_UP_SHARED,Primary Teacher (Hindi) (Part-Time),6
LP_UP_SHARED,Headmistress LP/UP,6
LP_UP_SHARED,Teacher (LP/UP) - Sanskrit (Grade II),5
LP_UP_SHARED,Part-Time Primary Urudu Teacher,5
LP_UP_SHARED,Teacher (LP/UP) - Hindi (Sel Gr),5
LP_UP_SHARED,Teacher (LP/UP) - Urdu (Grade I),4
LP_UP_SHARED,Full time Hindi Teacher (Snr Gr),4
LP_UP_SHARED,Primary Teacher (Sanskrit) (Part Time with Full Time Benefit),4
LP_UP_SHARED,Junior Hindi Teacher Gr I,3
LP_UP_SHARED,Full time Urdu Teacher HG,3
LP_UP_SHARED,Junior Teacher Urdu Gr II,3
LP_UP_SHARED,Full time Arabic Teacher (Sel Gr),3
LP_UP_SHARED,Junior Teacher Urudu (8 Yrs HG),3
LP_UP_SHARED,Teacher / Instructor (UP/LP) - Arabic (Grade II),3
LP_UP_SHARED,Lower Grade Arabic,3
LP_UP_SHARED,Primary Teacher (Hindi) (Part Time with Full Time Benefit) Sel Gr,2
LP_UP_SHARED,Primary Teacher (Arabic) (Part Time with Full Time Benefit) (Sel Gr),2
LP_UP_SHARED,Full time Hindi Teacher HG,2
LP_UP_SHARED,Part Time Language Teacher (Primary),2
LP_UP_SHARED,Primary Teacher (Hindi) (Part Time with Full Time Benefit) HG,2
LP_UP_SHARED,Primary Teacher (Urdu) (Part Time with Full Time Benefit) HG,2
LP_UP_SHARED,Primary Teacher (Sanskrit) (Part Time with Full Time Benefit) HG,1
LP_UP_SHARED,Junior Teacher Urdu Gr I,1
LP_UP_SHARED,Teacher / Instructor (UP/LP) - Arabic (Grade I),1
LP_UP_SHARED,Junior Hindi Teacher (Sel Gr),1
LP_UP_SHARED,Part Time Hindi teacher with FT Benefit,1
LP_UP_SHARED,Teacher (LP/UP) - Hindi (Sr Gr),1
LP_UP_SHARED,Primary Teacher (Arabic) (Part-Time),1
LP_UP_SHARED,Full Time Sanskrit Teacher,1
LP_UP_SHARED,Arabic Teacher(Sel. Gr),1
LP_UP_SHARED,Part Time primary Arabic Teacher,1
LP_UP_SHARED,Part Time Junior Sanskrit Teacher,1
LP_UP_SHARED,Primary Teacher (Hindi) (Part Time with Full Time Benefit),1
LP_UP_SHARED,Junior Sanskrit Teacher Gr II,1
NON_TEACHING,Office Attendant,102
NON_TEACHING,Part Time Menial,97
NON_TEACHING,Office Attendant Gr II,95
NON_TEACHING,FTM,85
NON_TEACHING,Part-Time Mineal (BP 2700),75
NON_TEACHING,Clerk,61
NON_TEACHING,Part Time Menial (15 Yrs HG),34
NON_TEACHING,Part Time Menial(4850-7500),26
NON_TEACHING,Part-Time Mineal (BP 3000),19
NON_TEACHING,Part Time Sweeper (Category II),17
NON_TEACHING,Part Time Menial(4850/8Yrs),15
NON_TEACHING,Part Time Sweeper(4850-7500),14
NON_TEACHING,Part Time Menial (27 Yrs HG),9
NON_TEACHING,Senior Clerk,8
NON_TEACHING,Office Attendant Gr II (8 Yrs HG),7
NON_TEACHING,FTM 1st HG,6
NON_TEACHING,Part Time Sweeper (Category II)(15 Yrs HG),5
NON_TEACHING,Part Time Menial(4250/8Yrs),5
NON_TEACHING,Part Time Menial (8 Yrs HG),4
NON_TEACHING,Part Time Menial (22 Yrs HG),4
NON_TEACHING,LD Clerk (15 Yrs Not Qualified),3
NON_TEACHING,LD Clerk (8 Yrs Not Qualified),3
NON_TEACHING,Office Attendant (15 Yrs HG),3
NON_TEACHING,Office Attendant Gr I,3
NON_TEACHING,Senior Clerk (15 Yrs TBHG - P),3
NON_TEACHING,Office Attendant Gr I (15 Yrs HG),2
NON_TEACHING,Office Attendant (8 Yrs HG),2
NON_TEACHING,Office Attendant Gr II (15 Yrs HG),2
NON_TEACHING,Ayah,2
NON_TEACHING,Part Time Meneal (4850/22 Yrs),2
NON_TEACHING,Office Attendent Sel Gr(9190-15780),2
NON_TEACHING,Office Attendant Snr Grade,2
NON_TEACHING,U.D.Clerk (Snr Gr),1
NON_TEACHING,Part Time Sweeper (Category II)(8 Yrs HG),1
NON_TEACHING,Part Time Sweeper(5520/8 Year),1
NON_TEACHING,FTM 2nd HG,1
NON_TEACHING,Senior Clerk (15 yrs HG),1
NON_TEACHING,LD Clerk (22 Yrs Not Qualified),1
NON_TEACHING,Office Attendant HG,1
NON_TEACHING,LD Clerk (15 Yrs HG Qualified),1
UNCLASSIFIED,Pre Primary Teacher Gr II,3
UNCLASSIFIED,Teacher Snr. Grd,1
UP,UP School Assistant,942
UP,Teacher (U P School) Gr II,406
UP,Teacher (U P School) Gr I,65
UP,UP School Assistant Gr I,42
UP,UP School Assistant (Snr Gr),35
UP,UP School Assistant (HG),33
UP,Teacher (U P School) Snr Gr,22
UP,UP School Assistant Grade II,20
UP,UP School Assistant (Sel Gr),10
UP,Teacher (U P School) Sel Gr,9
UP,UP School Assistant Grade I,8
UP,UP School Assistant (8 Yrs HG),3
UP,UPSA(HG),2
UP,UP School Assistant(Before 11/04/2013),1
