school_code,school_name,category,sub_district,students_lp,students_up,divisions_lp,divisions_up,divisions_total,staff_lp,staff_up,staff_lp_up_shared,staff_counted,imbalance,verdict,fixation_2026_27
19453,G. M. U. P. S. Venniyur,UPS,Parappanangadi,832,1124,22,31,53,17,16,6,39,-14,shortfall,
19866,GUPS Klari,UPS,Vengara,802,1088,22,32,54,14,19,7,40,-14,shortfall,received teachers
18021,G B H S S Manjeri,VHSE,Manjeri,0,593,0,18,18,1,6,3,10,-8,shortfall,received teachers
48129,I G M M R S Nilambur,HSS,Nilambur,64,129,4,5,9,2,0,0,2,-7,shortfall,
48457,Kurumbalangode GUPS,UPS,Nilambur,286,417,12,13,25,6,8,4,18,-7,shortfall,
19439,G. U. P. S. Ariyallur,UPS,Parappanangadi,576,673,19,20,39,15,13,5,33,-6,shortfall,received teachers
18023,G.G.H.S.S. Manjeri,HSS,Manjeri,19,133,4,5,9,3,1,0,4,-5,shortfall,received teachers
18365,G.M.U.P.S. Arimbra,UPS,Kondotty,298,429,12,14,26,9,7,5,21,-5,shortfall,received teachers
18438,G.L.P.S. Melmuri North,LPS,Malappuram,227,0,10,0,10,4,0,1,5,-5,shortfall,received teachers
18476,G.U.P.S. Muthiriparamba,UPS,Malappuram,262,223,11,9,20,9,2,4,15,-5,shortfall,
19317,G. L. P. S. Kalpakancheri,LPS,Kuttippuram,518,0,20,0,20,12,0,3,15,-5,shortfall,
48047,VMCGHSS Wandoor,HSS,Wandoor,0,325,0,11,11,0,6,0,6,-5,shortfall,received teachers
48532,Santhinagar GLPS,LPS,Wandoor,315,0,13,0,13,6,0,2,8,-5,shortfall,received teachers
48536,Thiruvali GLPS,LPS,Wandoor,397,0,15,0,15,9,0,1,10,-5,shortfall,
18057,G H S S Pulamanthole,HSS,Perinthalmanna,0,353,0,13,13,0,7,2,9,-4,shortfall,
18535,G M L P S Mariyad,LPS,Manjeri,149,0,8,0,8,3,0,1,4,-4,shortfall,
18576,G.M.U.P.S. Melakkam,UPS,Manjeri,105,111,6,5,11,4,1,2,7,-4,shortfall,received teachers
19229,G. L. P. S. Thrikkanapuram,LPS,Edappal,199,0,9,0,9,5,0,0,5,-4,shortfall,received teachers
19828,G M L P S Karathode,LPS,Vengara,454,0,18,0,18,11,0,3,14,-4,shortfall,
19859,GUPS AR Nagar,UPS,Vengara,319,314,13,11,24,10,5,5,20,-4,shortfall,received teachers
48317,G.M.L.P.S. Nenmini,LPS,Melattur,268,0,12,0,12,6,0,2,8,-4,shortfall,
18013,G.B.H.S.S Malappuram,HSS,Malappuram,0,144,0,6,6,0,2,1,3,-3,shortfall,received teachers
18058,G H S S Perintalmanna,HSS,Perinthalmanna,0,216,0,8,8,0,3,2,5,-3,shortfall,
18065,G H S S Mankada,VHSE,Mankada,0,419,0,15,15,0,8,4,12,-3,shortfall,
18072,G.H.S.S. Kottappuram,HSS,Kondotty,0,228,0,8,8,0,4,1,5,-3,shortfall,received teachers
18078,G H S S Kadungapuram,HSS,Mankada,131,646,7,20,27,6,11,7,24,-3,shortfall,lost posts
18204,GLPS Kizhisseri,UPS,Kizhisseri,711,142,21,5,26,19,0,4,23,-3,shortfall,
18221,GMLPS Pookalathur,LPS,Kizhisseri,259,0,12,0,12,7,0,2,9,-3,shortfall,
18505,G.L.P.S. Arukizhaya,LPS,Manjeri,60,0,4,0,4,1,0,0,1,-3,shortfall,received teachers
18525,G.M.L.P.S. Kodasseri,LPS,Manjeri,378,0,15,0,15,10,0,2,12,-3,shortfall,received teachers
18548,G.M.L.P.S. Pathappiriyam,LPS,Manjeri,232,0,10,0,10,6,0,1,7,-3,shortfall,received teachers
18569,G.U.P.S. Anakkayam,UPS,Manjeri,146,268,8,10,18,7,4,4,15,-3,shortfall,
19034,G. H. S. S. Kadanchery,HSS,Edappal,41,165,4,6,10,1,6,0,7,-3,shortfall,received teachers
19244,G. H. W. L. P. S. Maravancheri,UPS,Edappal,137,29,6,1,7,4,0,0,4,-3,shortfall,received teachers
19669,G. M. U. P. S. Kodinhi,UPS,Tanur,269,621,11,19,30,10,12,5,27,-3,shortfall,received teachers
19833,GLPS Olakara,LPS,Vengara,404,0,16,0,16,11,1,1,13,-3,shortfall,
48051,G H S S Thiruvali,HSS,Wandoor,0,541,0,16,16,1,9,3,13,-3,shortfall,
48052,G H S S Karuvarakundu,HSS,Wandoor,0,764,0,23,23,2,14,4,20,-3,shortfall,received teachers
48441,Pullippadam GLPS,LPS,Nilambur,157,0,8,0,8,4,0,1,5,-3,shortfall,lost posts
48452,Amarambalam South GUPS,UPS,Nilambur,152,234,8,9,17,6,5,3,14,-3,shortfall,received teachers
48516,Koithakundu GLPS,LPS,Wandoor,192,0,8,0,8,3,0,2,5,-3,shortfall,
48528,Poongode GLPS,LPS,Wandoor,313,0,13,0,13,9,0,1,10,-3,shortfall,
18032,G.R.H.S.S Kottakkal,HSS,Malappuram,0,597,0,18,18,0,12,4,16,-2,shortfall,
18316,G.L.P.S. Karad,LPS,Kondotty,267,0,12,0,12,9,0,1,10,-2,shortfall,
18349,G.L.P.S. Paravoor,LPS,Kondotty,54,0,4,0,4,2,0,0,2,-2,shortfall,received teachers
18356,G.L.P.S. ThurakkaL,LPS,Kondotty,245,0,10,0,10,6,0,2,8,-2,shortfall,
18435,G.L.P.S. Kodur,LPS,Malappuram,63,0,4,0,4,1,0,1,2,-2,shortfall,received teachers
18436,G.L.P.S. Kottakkal,LPS,Malappuram,120,0,6,0,6,2,0,2,4,-2,shortfall,
18440,G.L.P.S. Paranki Moochikkal,LPS,Malappuram,367,0,14,0,14,9,0,3,12,-2,shortfall,
18473,G.M.U.P.S. Kottakkal,UPS,Malappuram,289,431,12,15,27,11,8,6,25,-2,shortfall,received teachers
18474,G.M.U.P.S. Melmuri,UPS,Malappuram,491,404,18,14,32,15,8,7,30,-2,shortfall,
18475,G.U.P.S. Kottakkal,UPS,Malappuram,285,315,11,11,22,11,6,3,20,-2,shortfall,
18477,G.U.P.S. Ponmala,UPS,Malappuram,242,348,10,12,22,9,8,3,20,-2,shortfall,received teachers
18541,G.L.P.S. Pandallur,LPS,Manjeri,290,0,12,0,12,7,0,3,10,-2,shortfall,
18557,G.L.P.S. Valarad,LPS,Manjeri,136,0,8,0,8,4,0,2,6,-2,shortfall,
18626,G L P S Palakaparambil,LPS,Mankada,99,0,5,0,5,1,0,2,3,-2,shortfall,
18660,G U P S Koottilangadi,UPS,Mankada,230,259,9,9,18,8,4,4,16,-2,shortfall,received teachers
18723,GMLPS Muthiramanna,LPS,Perinthalmanna,69,0,4,0,4,1,0,1,2,-2,shortfall,
18730,GMLPS Perinthalmanna Central,LPS,Perinthalmanna,290,0,12,0,12,8,0,2,10,-2,shortfall,
18739,GMLPS Thootha,LPS,Perinthalmanna,153,0,8,0,8,4,0,2,6,-2,shortfall,
19002,G M H S S C U Campus,HSS,Vengara,0,379,0,13,13,0,7,4,11,-2,shortfall,lost posts
19042,G. H. S. S. Perassannur,HSS,Kuttippuram,145,228,8,8,16,7,5,2,14,-2,shortfall,
19043,P. C. N. G. H. S. S. Mookkuthala,HSS,Edappal,0,509,0,17,17,0,12,3,15,-2,shortfall,
19077,GHSS Puthuparamba,HSS,Vengara,555,533,20,17,37,19,11,5,35,-2,shortfall,
19216,G. B. L. P. S. Mudur,LPS,Edappal,75,0,4,0,4,1,0,1,2,-2,shortfall,
19225,G. L. P. S. Sukapuram,LPS,Edappal,43,0,4,0,4,1,0,1,2,-2,shortfall,
19301,G. L. P. S. Athippetta,LPS,Kuttippuram,78,0,4,0,4,1,0,1,2,-2,shortfall,
19329,G. L. P. S. Kuttippuram,LPS,Kuttippuram,21,0,4,0,4,2,0,0,2,-2,shortfall,
19365,G. U. P. S. Randathani,UPS,Kuttippuram,148,264,8,10,18,8,4,4,16,-2,shortfall,
