school_code,school_name,category,sub_district,lp_up_students,lp_up_teachers,lp_up_ptr,review_flag
48425,Mooleppadam GLPS,LPS,Nilambur,6,0,,no_lp_up_teacher
48129,I G M M R S Nilambur,HSS,Nilambur,193,2,96.5,high_ptr
18505,G.L.P.S. Arukizhaya,LPS,Manjeri,60,1,60.0,high_ptr
18021,G B H S S Manjeri,VHSE,Manjeri,593,10,59.3,high_ptr
48047,VMCGHSS Wandoor,HSS,Wandoor,325,6,54.2,high_ptr
19453,G. M. U. P. S. Venniyur,UPS,Parappanangadi,1956,39,50.2,high_ptr
18013,G.B.H.S.S Malappuram,HSS,Malappuram,144,3,48.0,high_ptr
19866,GUPS Klari,UPS,Vengara,1890,40,47.2,high_ptr
18072,G.H.S.S. Kottappuram,HSS,Kondotty,228,5,45.6,high_ptr
18438,G.L.P.S. Melmuri North,LPS,Malappuram,227,5,45.4,high_ptr
18058,G H S S Perintalmanna,HSS,Perinthalmanna,216,5,43.2,
48051,G H S S Thiruvali,HSS,Wandoor,541,13,41.6,
19244,G. H. W. L. P. S. Maravancheri,UPS,Edappal,166,4,41.5,
19229,G. L. P. S. Thrikkanapuram,LPS,Edappal,199,5,39.8,
48536,Thiruvali GLPS,LPS,Wandoor,397,10,39.7,
48532,Santhinagar GLPS,LPS,Wandoor,315,8,39.4,
18057,G H S S Pulamanthole,HSS,Perinthalmanna,353,9,39.2,
48457,Kurumbalangode GUPS,UPS,Nilambur,703,18,39.1,
19301,G. L. P. S. Athippetta,LPS,Kuttippuram,78,2,39.0,
48516,Koithakundu GLPS,LPS,Wandoor,192,5,38.4,
48052,G H S S Karuvarakundu,HSS,Wandoor,764,20,38.2,
18023,G.G.H.S.S. Manjeri,HSS,Manjeri,152,4,38.0,
19439,G. U. P. S. Ariyallur,UPS,Parappanangadi,1249,33,37.8,
19216,G. B. L. P. S. Mudur,LPS,Edappal,75,2,37.5,
18032,G.R.H.S.S Kottakkal,HSS,Malappuram,597,16,37.3,
18535,G M L P S Mariyad,LPS,Manjeri,149,4,37.2,
18204,GLPS Kizhisseri,UPS,Kizhisseri,853,23,37.1,
19856,GLPS Parambilpeedika,LPS,Vengara,754,21,35.9,
18027,G H S S Pandikkad,HSS,Manjeri,857,24,35.7,
18065,G H S S Mankada,VHSE,Mankada,419,12,34.9,
18365,G.M.U.P.S. Arimbra,UPS,Kondotty,727,21,34.6,
19317,G. L. P. S. Kalpakancheri,LPS,Kuttippuram,518,15,34.5,
18723,GMLPS Muthiramanna,LPS,Perinthalmanna,69,2,34.5,
19002,G M H S S C U Campus,HSS,Vengara,379,11,34.5,
19043,P. C. N. G. H. S. S. Mookkuthala,HSS,Edappal,509,15,33.9,
48317,G.M.L.P.S. Nenmini,LPS,Melattur,268,8,33.5,
48478,Kattumunda East GUPS,UPS,Nilambur,770,23,33.5,
18548,G.M.L.P.S. Pathappiriyam,LPS,Manjeri,232,7,33.1,
18012,G.G.H.S.S. Malappuram,HSS,Malappuram,265,8,33.1,
18626,G L P S Palakaparambil,LPS,Mankada,99,3,33.0,
19669,G. M. U. P. S. Kodinhi,UPS,Tanur,890,27,33.0,
19447,G. M. U. P. S. Parakkadavu,UPS,Parappanangadi,1175,36,32.6,
19881,GUPS Mundothuparamba,UPS,Vengara,649,20,32.5,
19828,G M L P S Karathode,LPS,Vengara,454,14,32.4,
18078,G H S S Kadungapuram,HSS,Mankada,777,24,32.4,
18476,G.U.P.S. Muthiriparamba,UPS,Malappuram,485,15,32.3,
48531,Pulvetta GLPS,LPS,Wandoor,290,9,32.2,
19769,G. U. P. S. Chamravattam,UPS,Tirur,1054,33,31.9,
19816,GMLPS Koomanna,LPS,Vengara,223,7,31.9,
48533,Tharish GLPS,LPS,Wandoor,446,14,31.9,
19679,G. M. U. P. S. Cheerankadappuram,UPS,Tanur,573,18,31.8,
48063,G.H.S.S. Pattikkad,HSS,Melattur,317,10,31.7,
19859,GUPS AR Nagar,UPS,Vengara,633,20,31.6,
18435,G.L.P.S. Kodur,LPS,Malappuram,63,2,31.5,
18525,G.M.L.P.S. Kodasseri,LPS,Manjeri,378,12,31.5,
48441,Pullippadam GLPS,LPS,Nilambur,157,5,31.4,
48050,G H S S Vaniyambalam,HSS,Wandoor,439,14,31.4,
48528,Poongode GLPS,LPS,Wandoor,313,10,31.3,
19077,GHSS Puthuparamba,HSS,Vengara,1088,35,31.1,
19833,GLPS Olakara,LPS,Vengara,404,13,31.1,
19767,G. M. U. P. S. BP Angadi,UPS,Tirur,1051,34,30.9,
18576,G.M.U.P.S. Melakkam,UPS,Manjeri,216,7,30.9,
48553,Kalikavu Bazar G M U P S,UPS,Wandoor,1202,39,30.8,
18356,G.L.P.S. ThurakkaL,LPS,Kondotty,245,8,30.6,
18440,G.L.P.S. Paranki Moochikkal,LPS,Malappuram,367,12,30.6,
19022,G. V. H. S. S. Kalpakanchery,VHSE,Kuttippuram,795,26,30.6,
18660,G U P S Koottilangadi,UPS,Mankada,489,16,30.6,
19862,CHAKKEERI AHAMMED KUTTY MEMORIAL G.M.U.P.S.CHERUR,UPS,Vengara,1327,44,30.2,
18436,G.L.P.S. Kottakkal,LPS,Malappuram,120,4,30.0,
18475,G.U.P.S. Kottakkal,UPS,Malappuram,600,20,30.0,
48141,G H S Perakamanna,HS,Areacode,660,22,30.0,
18008,G.V.H.S.S. Kondotty,VHSE,Kondotty,239,8,29.9,
18474,G.M.U.P.S. Melmuri,UPS,Malappuram,895,30,29.8,
19417,G. L. P. S. Venniyur,LPS,Parappanangadi,149,5,29.8,
48419,Mamankara GLPS,LPS,Nilambur,506,17,29.8,
19026,D. G. H. S. S. Tanur,HSS,Tanur,892,30,29.7,
19519,G. M. L. P. S. Veliyancode,LPS,Ponnani,89,3,29.7,
18586,Anakkayam GP Govt. UP School Pandallur,UPS,Manjeri,946,32,29.6,
18477,G.U.P.S. Ponmala,UPS,Malappuram,590,20,29.5,
19034,G. H. S. S. Kadanchery,HSS,Edappal,206,7,29.4,
18542,G M L P S Pandallur,LPS,Manjeri,234,8,29.2,
18574,G U P S Pullur,UPS,Manjeri,935,32,29.2,
19855,GLPS Orakam Kizhumuri,UPS,Vengara,583,20,29.1,
48558,G H S Neelanchery,HS,Wandoor,670,23,29.1,
18541,G.L.P.S. Pandallur,LPS,Manjeri,290,10,29.0,
18730,GMLPS Perinthalmanna Central,LPS,Perinthalmanna,290,10,29.0,
18384,G.M.U.P.S. Kondotty,UPS,Kondotty,811,28,29.0,
19016,G. B. H. S. S. Tirur,HSS,Tirur,405,14,28.9,
18473,G.M.U.P.S. Kottakkal,UPS,Malappuram,720,25,28.8,
19808,GMLPS Edakkaparamba,LPS,Vengara,403,14,28.8,
18221,GMLPS Pookalathur,LPS,Kizhisseri,259,9,28.8,
48540,Vaniyambalam CKAGLPS,LPS,Wandoor,402,14,28.7,
48226,GLPS Thavarapparamba,LPS,Areacode,343,12,28.6,
48502,Akkarakulam GLPS,LPS,Wandoor,200,7,28.6,
19067,G. H. S. S. Cheriyamundam,HSS,Tanur,114,4,28.5,
48205,G L P S Chengara,LPS,Areacode,228,8,28.5,
48513,Karuvarakundu GLPS,LPS,Wandoor,511,18,28.4,
19824,GMLPS Orakam Kizhmuri,LPS,Vengara,311,11,28.3,
19434,G. M. L. P. S. Parappanangadi Town,UPS,Parappanangadi,310,11,28.2,
48520,Mampuzha GLPS,LPS,Wandoor,338,12,28.2,
19359,G. M. H. S. Karippole,HS,Kuttippuram,732,26,28.2,
19008,G. H. S. S. Tirurangadi,HSS,Parappanangadi,422,15,28.1,
18205,GLPS Kuzhimanna,LPS,Kizhisseri,280,10,28.0,
19449,G. W. U. P. S. Trikkulam,UPS,Parappanangadi,364,13,28.0,
48519,Mampattumoola GLPS,LPS,Wandoor,336,12,28.0,
18472,G.M.U.P.S. Irumbuzhi,UPS,Malappuram,1060,38,27.9,
48237,GMUPS Areacode,UPS,Areacode,669,24,27.9,
48538,Thuvvur GLPS,LPS,Wandoor,445,16,27.8,
19781,G. M. U. P. S. Paravanna,UPS,Tirur,611,22,27.8,
18069,S H M G V H S S Edavanna,VHSE,Manjeri,277,10,27.7,
19205,G. L. P. S. Chiyanur,LPS,Edappal,83,3,27.7,
19779,G. M. U. P. S. Tirur,UPS,Tirur,939,34,27.6,
18569,G.U.P.S. Anakkayam,UPS,Manjeri,414,15,27.6,
