school_code,school_name,category,management,edu_district,sub_district,local_body,classes_approved,students_total,students_lp,students_up,teaching_staff_total,teaching_staff_lp,teaching_staff_up,teaching_staff_lp_up_shared,teaching_staff_hs,teaching_staff_unclassified,non_teaching_total,reported_total_employees,staff_data_status,total_reconciles,has_hss,has_vhse,source_url,fetched_at
18008,G.V.H.S.S. Kondotty,VHSE,Government,Malappuram,Kondotty,Kondotty (M),5 - 12,658,0,239,31,0,6,2,23,0,4,35,ok,true,true,true,https://sametham.kite.kerala.gov.in/18008,2026-08-14T10:03:52.224277+00:00
18009,GHSS POOKKOTTUR,HSS,Government,Malappuram,Malappuram,Malappuram (P),5 - 12,1464,0,412,54,0,15,2,37,0,6,60,ok,true,true,false,https://sametham.kite.kerala.gov.in/18009,2026-08-14T10:03:54.158363+00:00
18010,G.V.H.S.S. Pullanur,VHSE,Government,Malappuram,Malappuram,Malappuram (P),1 - 12,474,97,99,25,2,5,3,15,0,3,28,ok,true,true,true,https://sametham.kite.kerala.gov.in/18010,2026-08-14T10:03:56.168201+00:00
18011,G H S S Kuzhimanna,HSS,Government,Malappuram,Kizhisseri,Malappuram (P),5 - 12,757,0,88,35,0,5,0,30,0,4,39,ok,true,true,false,https://sametham.kite.kerala.gov.in/18011,2026-08-14T10:03:58.165333+00:00
18012,G.G.H.S.S. Malappuram,HSS,Government,Malappuram,Malappuram,Malappuram (M),5 - 12,998,0,265,42,0,5,3,34,0,4,46,ok,true,true,false,https://sametham.kite.kerala.gov.in/18012,2026-08-14T10:04:00.160343+00:00
18013,G.B.H.S.S Malappuram,HSS,Government,Malappuram,Malappuram,Malappuram (M),5 - 12,692,0,144,29,0,2,1,26,0,4,33,ok,true,true,false,https://sametham.kite.kerala.gov.in/18013,2026-08-14T10:04:02.166509+00:00
18021,G B H S S Manjeri,VHSE,Government,Malappuram,Manjeri,Manjeri (M),5 - 12,2586,0,593,81,1,6,3,71,0,4,85,ok,true,true,true,https://sametham.kite.kerala.gov.in/18021,2026-08-14T10:04:04.167852+00:00
18023,G.G.H.S.S. Manjeri,HSS,Government,Malappuram,Manjeri,Manjeri (M),1 - 12,622,19,133,27,3,1,0,23,0,4,31,ok,true,true,false,https://sametham.kite.kerala.gov.in/18023,2026-08-14T10:04:06.163498+00:00
18027,G H S S Pandikkad,HSS,Government,Malappuram,Manjeri,Malappuram (P),5 - 12,2359,0,857,81,0,19,5,57,0,7,88,ok,true,true,false,https://sametham.kite.kerala.gov.in/18027,2026-08-14T10:04:08.165998+00:00
18028,G V H S S Nellikuth,VHSE,Government,Malappuram,Manjeri,Manjeri (M),1 - 12,1664,198,695,67,8,18,8,33,0,6,73,ok,true,true,true,https://sametham.kite.kerala.gov.in/18028,2026-08-14T10:04:10.174178+00:00
18032,G.R.H.S.S Kottakkal,HSS,Government,Malappuram,Malappuram,Kottakkal (M),5 - 12,1731,0,597,60,0,12,4,44,0,4,64,ok,true,true,false,https://sametham.kite.kerala.gov.in/18032,2026-08-14T10:04:12.164426+00:00
18057,G H S S Pulamanthole,HSS,Government,Malappuram,Perinthalmanna,Malappuram (P),5 - 12,1927,0,353,69,0,7,2,60,0,3,72,ok,true,true,false,https://sametham.kite.kerala.gov.in/18057,2026-08-14T10:04:14.166776+00:00
18058,G H S S Perintalmanna,HSS,Government,Malappuram,Perinthalmanna,Perinthalmanna (M),5 - 12,1562,0,216,57,0,3,2,52,0,4,61,ok,true,true,false,https://sametham.kite.kerala.gov.in/18058,2026-08-14T10:04:16.169966+00:00
18065,G H S S Mankada,VHSE,Government,Malappuram,Mankada,Malappuram (P),5 - 12,1517,0,419,50,0,8,4,38,0,4,54,ok,true,true,true,https://sametham.kite.kerala.gov.in/18065,2026-08-14T10:04:18.165792+00:00
18069,S H M G V H S S Edavanna,VHSE,Government,Malappuram,Manjeri,Malappuram (P),5 - 12,770,0,277,32,0,9,1,22,0,4,36,ok,true,true,true,https://sametham.kite.kerala.gov.in/18069,2026-08-14T10:04:20.197842+00:00
18072,G.H.S.S. Kottappuram,HSS,Government,Malappuram,Kondotty,Malappuram (P),5 - 12,726,0,228,32,0,4,1,27,0,5,37,ok,true,true,false,https://sametham.kite.kerala.gov.in/18072,2026-08-14T10:04:22.182806+00:00
18075,G H S S Kunnakkavu,HSS,Government,Malappuram,Perinthalmanna,Malappuram (P),5 - 12,1664,0,381,61,0,11,4,46,0,5,66,ok,true,true,false,https://sametham.kite.kerala.gov.in/18075,2026-08-14T10:04:24.162907+00:00
18078,G H S S Kadungapuram,HSS,Government,Malappuram,Mankada,Malappuram (P),1 - 12,1674,131,646,68,6,11,7,44,0,3,71,ok,true,true,false,https://sametham.kite.kerala.gov.in/18078,2026-08-14T10:04:26.183456+00:00
18097,G H S Aliparamba,HSS,Government,Malappuram,Perinthalmanna,Malappuram (P),1 - 12,368,95,114,24,5,6,2,11,0,4,28,ok,true,true,false,https://sametham.kite.kerala.gov.in/18097,2026-08-14T10:04:28.170250+00:00
18138,G.H.S.S Chullikkode,HSS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 12,438,157,135,25,8,6,2,9,0,4,29,ok,true,true,false,https://sametham.kite.kerala.gov.in/18138,2026-08-14T10:04:30.167982+00:00
18139,Govt High School Muthuvallur,HSS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 12,482,158,157,27,7,5,3,12,0,4,31,ok,true,true,false,https://sametham.kite.kerala.gov.in/18139,2026-08-14T10:04:32.171162+00:00
18150,GHS CHERIYAM MANKADA,HS,Government,Malappuram,Mankada,Malappuram (P),1 -10,839,247,231,40,10,7,4,19,0,4,44,ok,true,false,false,https://sametham.kite.kerala.gov.in/18150,2026-08-14T10:04:34.179547+00:00
18204,GLPS Kizhisseri,UPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 5,853,711,142,29,19,0,4,6,0,1,30,ok,true,false,false,https://sametham.kite.kerala.gov.in/18204,2026-08-14T10:04:36.138984+00:00
18205,GLPS Kuzhimanna,LPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 4,280,280,0,10,10,0,0,0,0,0,10,ok,true,false,false,https://sametham.kite.kerala.gov.in/18205,2026-08-14T10:04:38.137297+00:00
18206,GLPS Kuzhimanna II South,LPS,Government,Malappuram,Kizhisseri,Malappuram (P),1 - 4,275,275,0,14,9,0,3,2,0,1,15,ok,true,false,false,https://sametham.kite.kerala.gov.in/18206,2026-08-14T10:04:40.145920+00:00
