Educational District,Educational Sub-District (AEO),Govt schools with LP/UP section,Students 1-4,Students 5-7,LPSA filled,UPSA filled,Sanctioned LPSA (PIO),Sanctioned UPSA (PIO),Vacant LPSA (PIO),Vacant UPSA (PIO)
Malappuram,Kizhisseri,19,4051,1243,144,37,,,,
Malappuram,Kondotty,34,5528,3990,205,100,,,,
Malappuram,Malappuram,31,5339,4447,178,102,,,,
Malappuram,Manjeri,52,7861,5984,307,140,,,,
Malappuram,Mankada,22,3578,3405,131,79,,,,
Malappuram,Perinthalmanna,18,2697,1443,98,36,,,,
Thirurangadi,Parappanangadi,22,5130,4739,178,106,,,,
Thirurangadi,Tanur,37,6118,5631,258,141,,,,
Thirurangadi,Vengara,39,10009,6806,333,165,,,,
Tirur,Edappal,28,2550,2183,105,65,,,,
Tirur,Kuttippuram,34,4638,2776,167,80,,,,
Tirur,Ponnani,19,2251,1529,106,45,,,,
Tirur,Tirur,27,3832,3753,163,94,,,,
Wandoor,Areacode,31,5302,4367,192,123,,,,
Wandoor,Melattur,19,2390,1301,90,39,,,,
Wandoor,Nilambur,45,7056,5030,257,127,,,,
Wandoor,Wandoor,42,9162,4853,290,119,,,,
TOTAL,,519,87492,63480,3202,1598,,,,
