Sl No,Educational District,Educational Sub-District (AEO),School Code,UDISE Code,School Name,Classes Approved,Students 1-4,Students 5-7,LP School Assistant posts filled (Sametham),UP School Assistant posts filled (Sametham),Sanctioned LPSA posts (to be filled by PIO),Sanctioned UPSA posts (to be filled by PIO),Vacant LPSA posts (to be filled by PIO),Vacant UPSA posts (to be filled by PIO)
1,Malappuram,Kizhisseri,18011,,G H S S Kuzhimanna,5 - 12,0,88,0,5,,,,
2,Malappuram,Kizhisseri,18138,32050100915,G.H.S.S Chullikkode,1 - 12,157,135,8,6,,,,
3,Malappuram,Kizhisseri,18139,32050100916,Govt High School Muthuvallur,1 - 12,158,157,7,5,,,,
4,Malappuram,Kizhisseri,18204,32050100703,GLPS Kizhisseri,1 - 5,711,142,19,0,,,,
5,Malappuram,Kizhisseri,18205,32050100704,GLPS Kuzhimanna,1 - 4,280,0,10,0,,,,
6,Malappuram,Kizhisseri,18206,32050100705,GLPS Kuzhimanna II South,1 - 4,275,0,9,0,,,,
7,Malappuram,Kizhisseri,18217,32050100928,GLPS Parappur,1 - 4,93,0,3,0,,,,
8,Malappuram,Kizhisseri,18218,32050100809,GLPS Parapurathparamba,1 - 4,102,0,4,0,,,,
9,Malappuram,Kizhisseri,18219,32050100924,GLPS Parathakkad,1 - 4,180,0,5,0,,,,
10,Malappuram,Kizhisseri,18220,32050100804,GLPS Ponnad,1 - 4,324,0,11,0,,,,
11,Malappuram,Kizhisseri,18221,32050100602,GMLPS Pookalathur,1 - 4,259,0,7,0,,,,
12,Malappuram,Kizhisseri,18222,32050100601,GLPS Pulpatta,1 - 4,140,0,7,0,,,,
13,Malappuram,Kizhisseri,18223,32050100927,GMLPS Thavanur,1 - 4,223,0,8,0,,,,
14,Malappuram,Kizhisseri,18226,32050100603,GLPS Valamangalam,1 - 4,166,0,7,0,,,,
15,Malappuram,Kizhisseri,18228,32050100808,GLPS Vilayil,1 - 4,72,0,2,0,,,,
16,Malappuram,Kizhisseri,18230,32050100807,GLPS Vilayil Parappur,1 - 4,155,0,5,0,,,,
17,Malappuram,Kizhisseri,18232,32050100801,G U P S Cheecode,1 - 7,274,249,10,9,,,,
18,Malappuram,Kizhisseri,18234,32050100712,GUPS Kadungallur,1 - 7,206,226,11,6,,,,
19,Malappuram,Kizhisseri,18235,32050100701,GMUPS Kizhisseri,1 - 7,276,246,11,6,,,,
20,Malappuram,Kondotty,18008,,G.V.H.S.S. Kondotty,5 - 12,0,239,0,6,,,,
21,Malappuram,Kondotty,18072,,G.H.S.S. Kottappuram,5 - 12,0,228,0,4,,,,
22,Malappuram,Kondotty,18301,32050200316,G.M.L.P.S. Akkode,1 - 4,81,0,2,0,,,,
23,Malappuram,Kondotty,18302,32050200501,G.M.L.P.S. Alparamba,1 - 4,141,0,6,0,,,,
24,Malappuram,Kondotty,18305,32050200805,G.L.P.S. Arimbra Melmuri,1 - 4,222,0,8,0,,,,
