School Name,Educational District,Educational Sub-District,Block Name,Level Name,Distance to Nearest PWD Road (m),Nearest Road Type,Nearest Road Name/Ref,Latitude,Longitude
GMUPS Kizhisseri,Malappuram,Kizhisseri,Areacode,1 - 7,26.0,State Highway,Parappanangadi - Areacode Road (SH65,11.17007,75.99138
GLPS Kuzhimanna,Malappuram,Kizhisseri,Areacode,1 - 4,28.3,MDR,Manjeri - Kizhisseri Road (MDR,11.17135,76.01795
GLPS Vilayil Parappur,Malappuram,Kizhisseri,Areacode,1 - 4,58.5,MDR,Kadungallur - Vilayil - Chaliyappuram Road (MDR,11.218949,76.000931
GLPS Pulpatta,Malappuram,Kizhisseri,Areacode,1 - 4,63.8,MDR,Manjeri-Kizhisseri Road (MDR,11.14741,76.08168
GLPS Kizhisseri,Malappuram,Kizhisseri,Areacode,1 - 5,73.9,State Highway,Parappanangadi - Areacode Road (SH65,11.17617,75.99761
G.L.P.S. Mundumuzhi,Malappuram,Kondotty,Kondotty,1 - 4,1.7,MDR,Kavanakkallu - Areekode Road (MDR,11.24633,75.93915
G.M.L.P.S. Akkode,Malappuram,Kondotty,Kondotty,1 - 4,4.9,MDR,Azhinjilam - Vazhakkad Road (MDR,11.23451,75.91487
G.L.P.S. Thadathilparamba,Malappuram,Kondotty,Kondotty,1 - 4,9.0,MDR,Vettukad - Olavathur - Mundumuzhi Road (MDR,11.20271,75.95149
G.M.L.P.S. Kondotty Chungam,Malappuram,Kondotty,,1 - 4,16.7,State Highway,Kozhikkode - Palakkad Road (SH,11.14417,75.96867
G.M.L.P.S. Kondotty,Malappuram,Kondotty,,1 - 4,23.3,State Highway,Kozhikkode - Palakkad Road (SH,11.14756,75.96498
G.L.P.S. Panikkarapuraya,Malappuram,Kondotty,Kondotty,1 - 4,26.9,MDR,Vazhakkad Road (MDR,11.24498,75.96972
G.L.P.S. Vettathur,Malappuram,Kondotty,Kondotty,1 - 4,37.1,MDR,Elamaram-Irattamuzhi Road (MDR,11.25618,75.98985
G.M.U.P.S. Vazhakkad,Malappuram,Kondotty,Kondotty,1 - 7,49.3,MDR,Kavanakkallu - Areekode Road (MDR,11.24721,75.9523
G.M.U.P.S. Chirayil,Malappuram,Kondotty,,1 - 7,49.7,State Highway,Parappanangadi - Areacode Road (SH65,11.12842,75.97477
G.H.S. Chaliyappuram,Malappuram,Kondotty,Kondotty,1 -10,63.9,MDR,Maprom Road (MDR,11.24727,75.97841
G.L.P.S. Karad,Malappuram,Kondotty,Kondotty,1 - 4,66.1,MDR,Azhinjilam - Vazhakkad Road (MDR,11.20628,75.87741
G.L.P.S. Kottakkal,Malappuram,Malappuram,,1 - 4,13.0,MDR,Kottakkal Arya Vydya Sala Road (MDR,10.99879,76.00815
G.M.U.P.S. Kottakkal,Malappuram,Malappuram,,1 - 7,29.3,MDR,Kottakkal Arya Vydya Sala Road (MDR,10.99913,76.00788
G.M.L.P.S. Kolmanna,Malappuram,Malappuram,,1 - 4,31.1,State Highway,Malappurram - Parappnangadi Road (SH72,11.050419,76.057563
G.U.P.S. Ponmala,Malappuram,Malappuram,Malappuram,1 - 7,80.1,MDR,Vattaparamba - Kadampuzha (MDR,10.983657,76.06755
G.G.H.S.S. Manjeri,Malappuram,Manjeri,,1 - 12,11.4,MDR,Industrial estate road (MDR,11.120218,76.118038
G U P S Pullur,Malappuram,Manjeri,,1 - 7,13.0,State Highway,Manjeri Byepass Road (SH28,11.123529,76.118215
G.L.P.S. Karuvambrum West,Malappuram,Manjeri,,1 - 4,18.4,MDR,Manjeri-Kizhisseri Road (MDR,11.127181,76.101832
G.M.L.P.S. Manjeri East,Malappuram,Manjeri,,1 - 4,20.6,MDR,Manjeri-Pandikkad Road (MDR,11.121499,76.125117
G.M.L.P.S. Pandikkad,Malappuram,Manjeri,Wandoor,1 - 5,21.4,State Highway,Valanchery - Nilambur Road (SH73,11.097809,76.224314
G.L.P.S. Vettikkattiri,Malappuram,Manjeri,Wandoor,1 - 4,23.3,MDR,Manjeri-Pandikkad Road (MDR,11.095161,76.213942
G.L.P.S. Pandallur,Malappuram,Manjeri,Malappuram,1 - 4,24.0,MDR,Anakkayam - Oravambram Road (MDR,11.084432,76.166711
G.M.L.P.S. Manjeri South,Malappuram,Manjeri,,1 - 4,24.3,MDR,N.S.S. College Road - Manjeri (MDR,11.120905,76.12658
G.M.L.P.S. Kidangazhi,Malappuram,Manjeri,,1 - 4,26.3,State Highway,Manjeri Byepass Road (SH28,11.122817,76.11537
G M L P S Pandallur,Malappuram,Manjeri,Malappuram,1 - 4,28.4,MDR,Anakkayam - Oravambram Road (MDR,11.085446,76.175403
