School Name,Educational District,Educational Sub-District,Block Name,Level Name,Distance to Nearest PWD Road (m),Nearest Road Type,Nearest Road Name/Ref,Latitude,Longitude
GMUPS Kizhisseri,Malappuram,Kizhisseri,Areacode,1 - 7,23.4,SH,Parappanangadi  Areacode Road (KPWD/MPM/SH/65/2,11.17007,75.99138
GLPS Kizhisseri,Malappuram,Kizhisseri,Areacode,1 - 5,27.2,MDR,Omannur Kuzhimanna Road (KPWD/MDR/503020302/11,11.17617,75.99761
GLPS Kuzhimanna,Malappuram,Kizhisseri,Areacode,1 - 4,28.3,MDR,Manjeri - Kizhisseri Road (KPWD/MDR/503020401/57,11.17135,76.01795
GMLPS Pookalathur,Malappuram,Kizhisseri,Areacode,1 - 4,41.3,MDR,Karaparamba - Pokkalathur - Mongam Road (KPWD/MDR/503020402/4,11.1575,76.05687
GLPS Valamangalam,Malappuram,Kizhisseri,Areacode,1 - 4,42.3,MDR,Valluvambram - Valamangalam - Pookolathur Road (KPWD/MDR/503020401/50,11.13874,76.05661
GLPS Vilayil Parappur,Malappuram,Kizhisseri,Areacode,1 - 4,58.9,MDR,Kadungallur - Vilayil - Chaliyappuram Road (KPWD/MDR/503020302/6,11.218949,76.000931
GLPS Pulpatta,Malappuram,Kizhisseri,Areacode,1 - 4,64.0,MDR,Manjeri - Kizhisseri Road (KPWD/MDR/503020401/56,11.14741,76.08168
GLPS Parathakkad,Malappuram,Kizhisseri,Kondotty,1 - 4,66.7,MDR,Kizhisseri - Teacherpadi Road (KPWD/MDR/503020302/21,11.17908,75.97024
G.L.P.S. Mundumuzhi,Malappuram,Kondotty,Kondotty,1 - 4,4.0,MDR,Kondotti Vazhakkad Road (KPWD/MDR/503020302/8,11.24633,75.93915
G.M.L.P.S. Akkode,Malappuram,Kondotty,Kondotty,1 - 4,4.8,MDR,Feroke College Vazhakkad Road (KPWD/MDR/503020302/32,11.23451,75.91487
G.L.P.S. Thadathilparamba,Malappuram,Kondotty,Kondotty,1 - 4,8.9,MDR,Vettukad Olavathur Mundumuzhi Road (KPWD/MDR/503020302/15,11.20271,75.95149
G.M.L.P.S. Nediyiruppu,Malappuram,Kondotty,,1 - 4,15.5,NH,NH 966 (KPWD/NH966/302010301/2,11.137528,75.983587
G.M.L.P.S. Kondotty Chungam,Malappuram,Kondotty,,1 - 4,16.9,MDR,Old Kozhikode Palakkad Road (KPWD/MDR/503020302/38,11.14417,75.96867
G.L.P.S. Morayur,Malappuram,Kondotty,Malappuram,1 - 4,19.8,NH,NH 966 (KPWD/NH966/302010301/2,11.13574,76.0211
G.M.L.P.S. Kondotty,Malappuram,Kondotty,,1 - 4,23.8,MDR,Old Kozhikode Palakkad Road (KPWD/MDR/503020302/39,11.14756,75.96498
G.L.P.S. Nediyiruppu,Malappuram,Kondotty,,1 - 5,29.6,NH,NH 966 (KPWD/NH966/302010301/2,11.1326,75.99311
G.L.P.S. Panikkarapuraya,Malappuram,Kondotty,Kondotty,1 - 4,29.7,MDR,Kondotti Vazhakkad Road (KPWD/MDR/503020302/8,11.24498,75.96972
G.M.L.P.S. Morayur,Malappuram,Kondotty,Malappuram,1 - 4,30.3,NH,NH 966 (KPWD/NH966/302010301/2,11.13366,76.01528
