School Name,Educational District,Educational Sub-District,Block Name,Level Name,Distance to Nearest PWD Road (m),Nearest Road Type,Nearest Road Name/Ref,Latitude,Longitude
G. M. L. P. S. Ponnani Town,Tirur,Ponnani,,1 - 4,1.0,State Highway,Ponnani-Chavakkad Road,10.775853,75.922213
G L P S Pothukundu,Malappuram,Mankada,Mankada,1 - 4,1.4,MDR,Makkaraparamba-Mankada Road (MDR,11.01726,76.12361
G.L.P.S. Mundumuzhi,Malappuram,Kondotty,Kondotty,1 - 4,1.7,MDR,Kavanakkallu - Areekode Road (MDR,11.24633,75.93915
G.M.L.P.S. Akkode,Malappuram,Kondotty,Kondotty,1 - 4,4.9,MDR,Azhinjilam - Vazhakkad Road (MDR,11.23451,75.91487
GMLPS Mampuram,Thirurangadi,Vengara,Vengara,1 - 4,5.3,MDR,Tirurangadi Mamburam Makam Road (MDR,11.0561,75.92042
A. M. L. P. S. Kormanthala,Thirurangadi,Tanur,,1 - 4,6.6,State Highway,Tanur Poorappuzha Tippu Sulthan Road (MDR,10.98716,75.867883
G.L.P.S. Thadathilparamba,Malappuram,Kondotty,Kondotty,1 - 4,9.0,MDR,Vettukad - Olavathur - Mundumuzhi Road (MDR,11.20271,75.95149
G.G.H.S.S. Manjeri,Malappuram,Manjeri,,1 - 12,11.4,MDR,Industrial estate road (MDR,11.120218,76.118038
GLPS Meppadam,Wandoor,Nilambur,Wandoor,1 - 4,12.2,MDR,Thiruvali - Mampad Road (MDR,11.22918,76.18182
G.L.P.S. Kottakkal,Malappuram,Malappuram,,1 - 4,13.0,MDR,Kottakkal Arya Vydya Sala Road (MDR,10.99879,76.00815
G U P S Pullur,Malappuram,Manjeri,,1 - 7,13.0,State Highway,Manjeri Byepass Road (SH28,11.123529,76.118215
G M L P S Karathode,Thirurangadi,Vengara,Vengara,1 - 4,13.8,State Highway,Malappurram - Parappnangadi Road (SH72,11.063009,76.013635
Pallisseri GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,15.1,MDR,Thrikkalangode-Thiruvali-Wandoor-Kalikavu Road (MDR,11.179967,76.303281
G. H. S. S. Ponmundam,Thirurangadi,Tanur,Tanur,1 - 12,15.4,State Highway,Tirur - Malappuram - Manjeri Road (SH71,10.957123,75.956855
G.M.L.P.S. Kondotty Chungam,Malappuram,Kondotty,,1 - 4,16.7,State Highway,Kozhikkode - Palakkad Road (SH,11.14417,75.96867
GMLPS Cherur,Thirurangadi,Vengara,Vengara,1 - 4,17.1,MDR,Vengara - Kunnumpuram Road (MDR,11.073861,75.985242
G. L. P. S. Thirurangadi,Thirurangadi,Parappanangadi,,1 - 4,18.2,State Highway,Parappanangadi - Areacode Road (SH65,11.044321,75.923696
G.L.P.S. Karuvambrum West,Malappuram,Manjeri,,1 - 4,18.4,MDR,Manjeri-Kizhisseri Road (MDR,11.127181,76.101832
G U P S Mankada Pallippuram,Malappuram,Mankada,Mankada,1 - 7,20.2,MDR,Koottilangadi - Vallikkapetta Road (MDR,11.06096,76.12727
G.M.L.P.S. Manjeri East,Malappuram,Manjeri,,1 - 4,20.6,MDR,Manjeri-Pandikkad Road (MDR,11.121499,76.125117
GHS Kolappuram,Thirurangadi,Vengara,Vengara,1 -10,20.7,State Highway,Parappanangadi - Areacode Road (SH65,11.05608,75.935
G.M.L.P.S. Pandikkad,Malappuram,Manjeri,Wandoor,1 - 5,21.4,State Highway,Valanchery - Nilambur Road (SH73,11.097809,76.224314
GMLPS Iringallur,Thirurangadi,Vengara,Vengara,1 - 4,22.3,MDR,Kuzhippuram - Atteeri - Kottakkal Road (MDR,11.02338,76.00708
G. M. L. P. S. Puthiyakadppuram North,Thirurangadi,Tanur,,1 - 4,22.8,State Highway,Tippu Sulthan Road (MDR,10.950653,75.877138
G.M.L.P.S. Kondotty,Malappuram,Kondotty,,1 - 4,23.3,State Highway,Kozhikkode - Palakkad Road (SH,11.14756,75.96498
G.L.P.S. Vettikkattiri,Malappuram,Manjeri,Wandoor,1 - 4,23.3,MDR,Manjeri-Pandikkad Road (MDR,11.095161,76.213942
G.L.P.S. Pandallur,Malappuram,Manjeri,Malappuram,1 - 4,24.0,MDR,Anakkayam - Oravambram Road (MDR,11.084432,76.166711
G. L. P. S. Kaladi,Tirur,Edappal,Ponnani,1 - 4,24.0,State Highway,Thrissur – Kuttippuram Road (SH69,10.81377,76.01296
