School Name,Educational District,Educational Sub-District,Block Name,Level Name,Distance to Nearest PWD Road (m),Nearest Road Type,Nearest Road Name/Ref,Latitude,Longitude
G L P S Pothukundu,Malappuram,Mankada,Mankada,1 - 4,2.2,MDR,Makkarapparamba Mankada Road (KPWD/MDR/503020201/8,11.01726,76.12361
G. L. P. S. Perumparamba Moodal,Tirur,Kuttippuram,Kuttippuram,1 - 4,3.9,MDR,Moodal Kanchippura By Pass Road (KPWD/MDR/503020102/22,10.8702,76.04659
G.L.P.S. Mundumuzhi,Malappuram,Kondotty,Kondotty,1 - 4,4.0,MDR,Kondotti Vazhakkad Road (KPWD/MDR/503020302/8,11.24633,75.93915
G.M.L.P.S. Akkode,Malappuram,Kondotty,Kondotty,1 - 4,4.8,MDR,Feroke College Vazhakkad Road (KPWD/MDR/503020302/32,11.23451,75.91487
GMLPS Mampuram,Thirurangadi,Vengara,Vengara,1 - 4,5.4,MDR,Mambram Link Road (KPWD/MDR/503020303/13,11.0561,75.92042
G. U. P. S. Pothanur,Tirur,Edappal,Ponnani,1 - 7,6.1,MDR,Nadakkavu - Nariparamba Road (KPWD/MDR/503020102/8,10.821579,75.984728
A. M. L. P. S. Kormanthala,Thirurangadi,Tanur,,1 - 4,6.5,MDR,Tanur Poorappuzha Tippu Sulthan Road (KPWD/MDR/503020301/26,10.98716,75.867883
GUPS AR Nagar,Thirurangadi,Vengara,Vengara,1 - 7,7.4,MDR,Vengara Kacheripadi Kakkadumpuram via Kuttoor North (KPWD/MDR/503020303/46,11.07172,75.94703
G. L. P. S. Rayirimangalam,Thirurangadi,Tanur,,1 - 4,8.5,MDR,Tirur - Kadalundi Road (KPWD/MDR/503020301/64,10.99357,75.8731
G. L. P. S. Thrikkanapuram,Tirur,Edappal,Ponnani,1 - 4,8.5,MDR,Athaloor Thrikkanapuram Road (KPWD/MDR/503020101/1,10.839666,75.988633
G.L.P.S. Thadathilparamba,Malappuram,Kondotty,Kondotty,1 - 4,8.9,MDR,Vettukad Olavathur Mundumuzhi Road (KPWD/MDR/503020302/15,11.20271,75.95149
Naduvakkad GLPS,Wandoor,Nilambur,Wandoor,1 - 4,9.7,MDR,Mampad Ferry - Thrikkaikuth Ferry Road (KPWD/MDR/503020403/26,11.24277,76.19103
GMLPS Kizhuparamba,Wandoor,Areacode,Areacode,1 - 4,9.8,MDR,Keezhuparamba - Nellarkadavu Road (KPWD/MDR/503020401/60,11.24977,76.01347
Koithakundu GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,11.3,MDR,Karuvarakundu - Kuttathi - Neelancheri - Kalikavu (KPWD/MDR15/503020202/10,11.134268,76.32921
G.G.H.S.S. Manjeri,Malappuram,Manjeri,,1 - 12,11.5,MDR,Manjeri - Pookottur Road (KPWD/MDR/503020401/67,11.120218,76.118038
GLPS Meppadam,Wandoor,Nilambur,Wandoor,1 - 4,12.0,MDR,Thiruvali High School Padi - Mepadam - Mampad P.H.C (KPWD/MDR18/503020202/12,11.22918,76.18182
G M L P S Karathode,Thirurangadi,Vengara,Vengara,1 - 4,12.6,SH,Malappuram - Parappanangadi Road (KPWD/MPM/SH/72/1,11.063009,76.013635
G U P S Pullur,Malappuram,Manjeri,,1 - 7,12.9,SH,Manjery By Pass First Reach (S.H 28) (KPWD/SH/503020401/35,11.123529,76.118215
G. H. S. S. Ponmundam,Thirurangadi,Tanur,Tanur,1 - 12,12.9,SH,Tirur - Malappuram - Manjeri Road (KPWD/MPM/SH/71/1,10.957123,75.956855
G.L.P.S. Kottakkal,Malappuram,Malappuram,,1 - 4,13.5,MDR,Kottakkal Arya Vydya Sala Road (KPWD/MDR/503020402/25,10.99879,76.00815
Pallisseri GLPS,Wandoor,Wandoor,Kalikavu,1 - 4,15.1,MDR,Thirkkalangodu - Thiruvali - Wandoor - Kalikavu Road (KPWD/MDR/503020202/18,11.179967,76.303281
G L P S Vallikkapatta,Malappuram,Mankada,Mankada,1 - 4,15.4,MDR,Tirurkad Anakayam Road (KPWD/MDR/503020203/11,11.06234,76.14056
G.M.L.P.S. Nediyiruppu,Malappuram,Kondotty,,1 - 4,15.5,NH,NH 966 (KPWD/NH966/302010301/2,11.137528,75.983587
G. J. B. S. Vattamkulam,Tirur,Edappal,Ponnani,1 - 4,16.3,MDR,Palakkad - Ponnani Road (KPWD/MDR/503020101/24,10.785135,76.01586
