School Name,Educational Sub-District,Block Name,Latitude,Longitude,"Drive Time from Arogya Matha Church, Kottakkal (min)","Drive Distance from Arogya Matha Church, Kottakkal (km)",Within 30 Min of Church,"Drive Time from St. Paul's School, Thenhipalam (min)","Drive Distance from St. Paul's School, Thenhipalam (km)",Within 30 Min of St. Paul's School,Within 30 Min of Both
GUPS Klari,Vengara,Vengara,10.99273,75.97987,7.1,2.7,Yes,21.8,22.05,Yes,Yes
G. U. P. S. Moonniyur,Parappanangadi,Tirurangadi,11.0593167,75.9063071,25.4,19.45,Yes,12.8,8.61,Yes,Yes
GHS Kolappuram,Vengara,Vengara,11.05608,75.935,18.3,13.62,Yes,12.9,11.37,Yes,Yes
GHSS Peruvallur,Vengara,Tirurangadi,11.10531,75.92466,30.0,24.23,Yes,13.2,7.44,Yes,Yes
G. M. U. P. S. Kakkad,Parappanangadi,,11.03522,75.93824,16.3,11.16,Yes,14.2,13.86,Yes,Yes
G. M. L. P. S. Kuttippala,Tanur,Tanur,10.96675,75.96111,14.2,6.51,Yes,26.5,24.72,Yes,Yes
GUPS AR Nagar,Vengara,Vengara,11.07172,75.94703,22.1,15.8,Yes,14.9,12.82,Yes,Yes
GMLPS Mampuram,Vengara,Vengara,11.0561,75.92042,23.6,14.71,Yes,15.4,10.54,Yes,Yes
G. M. L. P. S. Valavannur,Tanur,Tanur,10.958043,75.976714,15.5,7.12,Yes,27.8,25.32,Yes,Yes
G. U. P. S. Karingappara,Tanur,Tanur,10.9862,75.94249,15.8,7.68,Yes,25.3,21.29,Yes,Yes
G. H. S. S. Ponmundam,Tanur,Tanur,10.957123,75.956855,16.0,7.76,Yes,28.2,25.96,Yes,Yes
GLPS Orakam Kizhumuri,Vengara,Vengara,11.052021,75.993125,16.0,8.12,Yes,28.2,18.52,Yes,Yes
GLPS Thattancherimala,Vengara,Vengara,11.045565,75.945858,19.1,12.98,Yes,16.8,13.37,Yes,Yes
G. L. P. S. Venniyur,Parappanangadi,,11.014938,75.938959,17.0,8.6,Yes,19.3,17.6,Yes,Yes
GUPS Valiyora,Vengara,Vengara,11.04873,75.94971,19.6,13.26,Yes,17.3,13.65,Yes,Yes
G. H. S. Trikkulam,Parappanangadi,,11.04218,75.90944,25.6,15.18,Yes,17.6,10.85,Yes,Yes
GLPS Olakara,Vengara,Tirurangadi,11.083855,75.930001,27.5,19.85,Yes,17.6,11.07,Yes,Yes
G. L. P. S. Thirurangadi,Parappanangadi,,11.044321,75.923696,20.2,12.85,Yes,17.9,13.87,Yes,Yes
G. M. L. P. S. Thirurangadi,Parappanangadi,,11.035572,75.926976,20.7,13.13,Yes,19.0,15.95,Yes,Yes
G H S Kuruka,Vengara,Vengara,11.03964,75.96862,19.7,8.76,Yes,27.2,18.37,Yes,Yes
