Name,Latitude,Longitude,Educational District,Educational Sub-District,Block Name,Level Name,Phone,School Code
GLPS Kizhisseri,11.176170000000001,75.997609999999995,Malappuram,Kizhisseri,Areacode,1 - 5,04832755520,18204
GLPS Kuzhimanna,11.17135,76.017949999999999,Malappuram,Kizhisseri,Areacode,1 - 4,9746531012,18205
GLPS Kuzhimanna II South,11.163180000000001,76.01003,Malappuram,Kizhisseri,Areacode,1 - 4,04832754044,18206
GLPS Parappur,11.208943,76.002116999999998,Malappuram,Kizhisseri,Kondotty,1 - 4,8943614992,18217
GLPS Parapurathparamba,11.236103999999999,76.008255000000005,Malappuram,Kizhisseri,Areacode,1 - 4,9072992729,18218
GLPS Parathakkad,11.179080000000001,75.970240000000004,Malappuram,Kizhisseri,Kondotty,1 - 4,7510355291,18219
GLPS Ponnad,11.224771,75.971170999999998,Malappuram,Kizhisseri,Areacode,1 - 4,9497014670,18220
GLPS Pulpatta,11.147410000000001,76.081680000000006,Malappuram,Kizhisseri,Areacode,1 - 4,04832821700,18222
GLPS Valamangalam,11.13874,76.056610000000006,Malappuram,Kizhisseri,Areacode,1 - 4,9400160543,18226
GLPS Vilayil,11.225429999999999,76.009919999999994,Malappuram,Kizhisseri,Areacode,1 - 4,9447842086,18228
GLPS Vilayil Parappur,11.218949,76.000930999999994,Malappuram,Kizhisseri,Areacode,1 - 4,9747113693,18230
GMLPS Pookalathur,11.157500000000001,76.056870000000004,Malappuram,Kizhisseri,Areacode,1 - 4,04832821331,18221
GMLPS Thavanur,11.194000000000001,75.989940000000004,Malappuram,Kizhisseri,Kondotty,1 - 4,04832756664,18223
GMUPS Kizhisseri,11.170070000000001,75.991380000000007,Malappuram,Kizhisseri,Areacode,1 - 7,04832754699,18235
GUPS Kadungallur,11.198359999999999,76.023830000000004,Malappuram,Kizhisseri,Areacode,1 - 7,9074126226,18234
G.H.S. Chaliyappuram,11.24727,75.978409999999997,Malappuram,Kondotty,Kondotty,1 -10,04832725410,18368
G.L.P.S. Arimbra Melmuri,11.106578000000001,76.024071000000006,Malappuram,Kondotty,Malappuram,1 - 4,04832770011,18305
G.L.P.S. Elamaram,11.250069999999999,75.958969999999994,Malappuram,Kondotty,Kondotty,1 - 4,9446411798,18311
G.L.P.S. Karad,11.20628,75.877409999999998,Malappuram,Kondotty,Kondotty,1 - 4,04832830128,18316
G.L.P.S. Morayur,11.13574,76.021100000000004,Malappuram,Kondotty,Malappuram,1 - 4,04832776010,18331
G.L.P.S. Mundumuzhi,11.24633,75.939149999999998,Malappuram,Kondotty,Kondotty,1 - 4,04832724599,18335
G.L.P.S. Nediyiruppu,11.1326,75.993110000000001,Malappuram,Kondotty,,1 - 5,04832713727,18338
G.L.P.S. Panikkarapuraya,11.24498,75.969719999999995,Malappuram,Kondotty,Kondotty,1 - 4,04832724188,18346
G.L.P.S. Paravoor,11.179209999999999,75.921899999999994,Malappuram,Kondotty,Kondotty,1 - 4,04832790187,18349
G.L.P.S. Puthucode,11.19074,75.882009999999994,Malappuram,Kondotty,Kondotty,1 - 4,,18352
G.L.P.S. Thadathilparamba,11.20271,75.951490000000007,Malappuram,Kondotty,Kondotty,1 - 4,9048505446,18354
G.L.P.S. Vettathur,11.256180000000001,75.989850000000004,Malappuram,Kondotty,Kondotty,1 - 4,9656634496,18362
G.M.L.P.S. Akkode,11.23451,75.914869999999993,Malappuram,Kondotty,Kondotty,1 - 4,9847369201,18301
G.M.L.P.S. Kanhiraparamba,11.14676,75.954620000000006,Malappuram,Kondotty,,1 - 4,9745473150,18315
G.M.L.P.S. Karippur,11.15096,75.940280000000001,Malappuram,Kondotty,Kondotty,1 - 4,,18318
G.M.L.P.S. Kondotty,11.14756,75.964979999999997,Malappuram,Kondotty,,1 - 4,9645122117,18323
G.M.L.P.S. Kondotty Chungam,11.144170000000001,75.968670000000003,Malappuram,Kondotty,,1 - 4,8086892530,18322
G.M.L.P.S. Kumminiparamba,11.13256,75.937299999999993,Malappuram,Kondotty,Kondotty,1 - 4,9656914514,18326
G.M.L.P.S. Mapprom,11.2591,75.968990000000005,Malappuram,Kondotty,Kondotty,1 - 4,9496408313,18329
G.M.L.P.S. Melangadi,11.142569999999999,75.960599999999999,Malappuram,Kondotty,,1 - 4,04832718080,18330
G.M.L.P.S. Morayur,11.133660000000001,76.015280000000004,Malappuram,Kondotty,Malappuram,1 - 4,04832776365,18332
G.M.L.P.S. Nediyiruppu,11.137528,75.983587,Malappuram,Kondotty,,1 - 4,9656775117,18339
G.M.L.P.S. Vazhayur,11.22444,75.887370000000004,Malappuram,Kondotty,Kondotty,1 - 4,7907924403,18360
G.M.U.P.S. Arimbra,11.115460000000001,76.018820000000005,Malappuram,Kondotty,Malappuram,1 - 7,04832771322,18365
G.M.U.P.S. Chirayil,11.12842,75.974770000000007,Malappuram,Kondotty,,1 - 7,04832714211,18373
G.M.U.P.S. Ozhukur,11.15409,76.01258,Malappuram,Kondotty,Malappuram,1 - 7,04832756611,18375
G.M.U.P.S. Vazhakkad,11.247210000000001,75.952299999999994,Malappuram,Kondotty,Kondotty,1 - 7,04832724750,18380
G.W.U.P.S. Nediyiruppu,11.107699999999999,75.997780000000006,Malappuram,Kondotty,,1 - 7,04832714900,18340
G.L.P.S. Kottakkal,10.99879,76.008150000000001,Malappuram,Malappuram,,1 - 4,04832744100,18436
G.L.P.S. Paranki Moochikkal,11.006385,76.041245000000004,Malappuram,Malappuram,Malappuram,1 - 4,04832705677,18440
G.M.L.P.S. Chappanangadi,11.004902,76.042617000000007,Malappuram,Malappuram,Malappuram,1 - 4,04832705466,18447
G.M.L.P.S. Kolmanna,11.050419,76.057563000000002,Malappuram,Malappuram,,1 - 4,9656241748,18449
G.M.L.P.S. Ponmala,11.028299000000001,76.0411,Malappuram,Malappuram,Malappuram,1 - 4,7012112932,18452
G.M.U.P.S. Kottakkal,10.999129999999999,76.00788,Malappuram,Malappuram,,1 - 7,04832744181,18473
G.U.P.S. Kottakkal,10.991759999999999,76.007819999999995,Malappuram,Malappuram,,1 - 7,04832745952,18475
G.U.P.S. Ponmala,10.983656999999999,76.067549999999997,Malappuram,Malappuram,Malappuram,1 - 7,04832753700,18477
G M L P S Mariyad,11.117290000000001,76.127866999999995,Malappuram,Manjeri,,1 - 4,9048447917,18535
G M L P S Pandallur,11.085445999999999,76.175403000000003,Malappuram,Manjeri,Malappuram,1 - 4,,18542
G U P S Pullur,11.123529,76.118215000000006,Malappuram,Manjeri,,1 - 7,04832764104,18574
G V H S S Nellikuth,11.097388,76.182277999999997,Malappuram,Manjeri,,1 - 12,8086921596,18028
G.G.H.S.S. Manjeri,11.120217999999999,76.118037999999999,Malappuram,Manjeri,,1 - 12,9037486580,18023
G.L.P.S. Arukizhaya,11.123877999999999,76.12379,Malappuram,Manjeri,,1 - 4,04832765650,18505
G.L.P.S. Chalippadam,11.21894,76.163261000000006,Malappuram,Manjeri,Areacode,1 - 4,9946486486,18506
G.L.P.S. Chembakuth,11.206241,76.149152999999998,Malappuram,Manjeri,Areacode,1 - 4,9074864605,18507
G.L.P.S. Cherankuth,11.142098000000001,76.156858,Malappuram,Manjeri,Wandoor,1 - 5,9744580831,18565
G.L.P.S. Cherukulam,11.130929999999999,76.179329999999993,Malappuram,Manjeri,Wandoor,1 - 4,,18508
G.L.P.S. Cheruvannur,11.143501000000001,76.190853000000004,Malappuram,Manjeri,Wandoor,1 - 4,04832709150,18510
G.L.P.S. Karuvambrum West,11.127181,76.101832000000002,Malappuram,Manjeri,,1 - 4,9526093591,18521
G.L.P.S. Kizhakkuparamba,11.075779000000001,76.189959999999999,Malappuram,Manjeri,Malappuram,1 - 4,9446802049,18524
G.L.P.S. Manjeri,11.116944,76.119939000000002,Malappuram,Manjeri,,1 - 4,04832762056,18532
G.L.P.S. Narukara,11.120787,76.096862999999999,Malappuram,Manjeri,,1 - 4,9048478360,18538
G.L.P.S. Pandallur,11.084432,76.166711000000006,Malappuram,Manjeri,Malappuram,1 - 4,9495414232,18541
