Educational District,Educational Sub-District,School Code,School Name,Block Name,Level Name,Local Body,Revenue District,Phone,UDISE Code,Latitude,Longitude,Maps Link
Malappuram,Kizhisseri,18232,G U P S Cheecode,Areacode,1 - 7,Cheekkode(P),Malappuram,9048037210,32050100801,,,
Malappuram,Kizhisseri,18138,G.H.S.S Chullikkode,Kondotty,1 - 12,Muthuvallur(P),Malappuram,04832756030,32050100915,,,
Malappuram,Kizhisseri,18204,GLPS Kizhisseri,Areacode,1 - 5,Kuzhimanna(P),Malappuram,04832755520,32050100703,11.176170000000001,75.997609999999995,"http://maps.google.com/maps?q=11.176170000000001,75.997609999999995"
Malappuram,Kizhisseri,18205,GLPS Kuzhimanna,Areacode,1 - 4,Kuzhimanna(P),Malappuram,9746531012,32050100704,11.17135,76.017949999999999,"http://maps.google.com/maps?q=11.17135,76.017949999999999"
Malappuram,Kizhisseri,18206,GLPS Kuzhimanna II South,Areacode,1 - 4,Kuzhimanna(P),Malappuram,04832754044,32050100705,11.163180000000001,76.01003,"http://maps.google.com/maps?q=11.163180000000001,76.01003"
Malappuram,Kizhisseri,18217,GLPS Parappur,Kondotty,1 - 4,Muthuvallur(P),Malappuram,8943614992,32050100928,11.208943,76.002116999999998,"http://maps.google.com/maps?q=11.208943,76.002116999999998"
Malappuram,Kizhisseri,18218,GLPS Parapurathparamba,Areacode,1 - 4,Cheekkode(P),Malappuram,9072992729,32050100809,11.236103999999999,76.008255000000005,"http://maps.google.com/maps?q=11.236103999999999,76.008255000000005"
Malappuram,Kizhisseri,18219,GLPS Parathakkad,Kondotty,1 - 4,Muthuvallur(P),Malappuram,7510355291,32050100924,11.179080000000001,75.970240000000004,"http://maps.google.com/maps?q=11.179080000000001,75.970240000000004"
Malappuram,Kizhisseri,18220,GLPS Ponnad,Areacode,1 - 4,Cheekkode(P),Malappuram,9497014670,32050100804,11.224771,75.971170999999998,"http://maps.google.com/maps?q=11.224771,75.971170999999998"
Malappuram,Kizhisseri,18222,GLPS Pulpatta,Areacode,1 - 4,Pulpatta(P),Malappuram,04832821700,32050100601,11.147410000000001,76.081680000000006,"http://maps.google.com/maps?q=11.147410000000001,76.081680000000006"
Malappuram,Kizhisseri,18226,GLPS Valamangalam,Areacode,1 - 4,Pulpatta(P),Malappuram,9400160543,32050100603,11.13874,76.056610000000006,"http://maps.google.com/maps?q=11.13874,76.056610000000006"
Malappuram,Kizhisseri,18228,GLPS Vilayil,Areacode,1 - 4,Cheekkode(P),Malappuram,9447842086,32050100808,11.225429999999999,76.009919999999994,"http://maps.google.com/maps?q=11.225429999999999,76.009919999999994"
Malappuram,Kizhisseri,18230,GLPS Vilayil Parappur,Areacode,1 - 4,Cheekkode(P),Malappuram,9747113693,32050100807,11.218949,76.000930999999994,"http://maps.google.com/maps?q=11.218949,76.000930999999994"
Malappuram,Kizhisseri,18221,GMLPS Pookalathur,Areacode,1 - 4,Pulpatta(P),Malappuram,04832821331,32050100602,11.157500000000001,76.056870000000004,"http://maps.google.com/maps?q=11.157500000000001,76.056870000000004"
Malappuram,Kizhisseri,18223,GMLPS Thavanur,Kondotty,1 - 4,Muthuvallur(P),Malappuram,04832756664,32050100927,11.194000000000001,75.989940000000004,"http://maps.google.com/maps?q=11.194000000000001,75.989940000000004"
Malappuram,Kizhisseri,18235,GMUPS Kizhisseri,Areacode,1 - 7,Kuzhimanna(P),Malappuram,04832754699,32050100701,11.170070000000001,75.991380000000007,"http://maps.google.com/maps?q=11.170070000000001,75.991380000000007"
Malappuram,Kizhisseri,18234,GUPS Kadungallur,Areacode,1 - 7,Kuzhimanna(P),Malappuram,9074126226,32050100712,11.198359999999999,76.023830000000004,"http://maps.google.com/maps?q=11.198359999999999,76.023830000000004"
Malappuram,Kizhisseri,18139,Govt High School Muthuvallur,Kondotty,1 - 12,Muthuvallur(P),Malappuram,04832714428,32050100916,,,
Malappuram,Kondotty,18368,G.H.S. Chaliyappuram,Kondotty,1 -10,Vazhakkad(P),Malappuram,04832725410,32050200301,11.24727,75.978409999999997,"http://maps.google.com/maps?q=11.24727,75.978409999999997"
Malappuram,Kondotty,18305,G.L.P.S. Arimbra Melmuri,Malappuram,1 - 4,Morayur(P),Malappuram,04832770011,32050200805,11.106578000000001,76.024071000000006,"http://maps.google.com/maps?q=11.106578000000001,76.024071000000006"
Malappuram,Kondotty,18311,G.L.P.S. Elamaram,Kondotty,1 - 4,Vazhakkad(P),Malappuram,9446411798,32050200307,11.250069999999999,75.958969999999994,"http://maps.google.com/maps?q=11.250069999999999,75.958969999999994"
Malappuram,Kondotty,18316,G.L.P.S. Karad,Kondotty,1 - 4,Vazhayur(P),Malappuram,04832830128,32050200201,11.20628,75.877409999999998,"http://maps.google.com/maps?q=11.20628,75.877409999999998"
Malappuram,Kondotty,18331,G.L.P.S. Morayur,Malappuram,1 - 4,Morayur(P),Malappuram,04832776010,32050200804,11.13574,76.021100000000004,"http://maps.google.com/maps?q=11.13574,76.021100000000004"
Malappuram,Kondotty,18335,G.L.P.S. Mundumuzhi,Kondotty,1 - 4,Vazhakkad(P),Malappuram,04832724599,32050200314,11.24633,75.939149999999998,"http://maps.google.com/maps?q=11.24633,75.939149999999998"
Malappuram,Kondotty,18338,G.L.P.S. Nediyiruppu,,1 - 5,Kondotty(M),Malappuram,04832713727,32050200702,11.1326,75.993110000000001,"http://maps.google.com/maps?q=11.1326,75.993110000000001"
Malappuram,Kondotty,18346,G.L.P.S. Panikkarapuraya,Kondotty,1 - 4,Vazhakkad(P),Malappuram,04832724188,32050200305,11.24498,75.969719999999995,"http://maps.google.com/maps?q=11.24498,75.969719999999995"
Malappuram,Kondotty,18349,G.L.P.S. Paravoor,Kondotty,1 - 4,Cherukavu(P),Malappuram,04832790187,32050200407,11.179209999999999,75.921899999999994,"http://maps.google.com/maps?q=11.179209999999999,75.921899999999994"
Malappuram,Kondotty,18352,G.L.P.S. Puthucode,Kondotty,1 - 4,Cherukavu(P),Malappuram,,32050200408,11.19074,75.882009999999994,"http://maps.google.com/maps?q=11.19074,75.882009999999994"
Malappuram,Kondotty,18354,G.L.P.S. Thadathilparamba,Kondotty,1 - 4,Pulikkal(P),Malappuram,9048505446,32050200510,11.20271,75.951490000000007,"http://maps.google.com/maps?q=11.20271,75.951490000000007"
Malappuram,Kondotty,18356,G.L.P.S. ThurakkaL,,1 - 4,Kondotty(M),Malappuram,9495111686,32050200108,,,
Malappuram,Kondotty,18362,G.L.P.S. Vettathur,Kondotty,1 - 4,Vazhakkad(P),Malappuram,9656634496,32050200302,11.256180000000001,75.989850000000004,"http://maps.google.com/maps?q=11.256180000000001,75.989850000000004"
Malappuram,Kondotty,18301,G.M.L.P.S. Akkode,Kondotty,1 - 4,Vazhakkad(P),Malappuram,9847369201,32050200316,11.23451,75.914869999999993,"http://maps.google.com/maps?q=11.23451,75.914869999999993"
Malappuram,Kondotty,18302,G.M.L.P.S. Alparamba,Kondotty,1 - 4,Pulikkal(P),Malappuram,7994822923,32050200501,,,
Malappuram,Kondotty,18315,G.M.L.P.S. Kanhiraparamba,,1 - 4,Kondotty(M),Malappuram,9745473150,32050200106,11.14676,75.954620000000006,"http://maps.google.com/maps?q=11.14676,75.954620000000006"
Malappuram,Kondotty,18318,G.M.L.P.S. Karippur,Kondotty,1 - 4,PALLIKKAL(P),Malappuram,,32050200612,11.15096,75.940280000000001,"http://maps.google.com/maps?q=11.15096,75.940280000000001"
Malappuram,Kondotty,18323,G.M.L.P.S. Kondotty,,1 - 4,Kondotty(M),Malappuram,9645122117,32050200103,11.14756,75.964979999999997,"http://maps.google.com/maps?q=11.14756,75.964979999999997"
Malappuram,Kondotty,18322,G.M.L.P.S. Kondotty Chungam,,1 - 4,Kondotty(M),Malappuram,8086892530,32050200102,11.144170000000001,75.968670000000003,"http://maps.google.com/maps?q=11.144170000000001,75.968670000000003"
Malappuram,Kondotty,18326,G.M.L.P.S. Kumminiparamba,Kondotty,1 - 4,PALLIKKAL(P),Malappuram,9656914514,32050200607,11.13256,75.937299999999993,"http://maps.google.com/maps?q=11.13256,75.937299999999993"
Malappuram,Kondotty,18329,G.M.L.P.S. Mapprom,Kondotty,1 - 4,Vazhakkad(P),Malappuram,9496408313,32050200303,11.2591,75.968990000000005,"http://maps.google.com/maps?q=11.2591,75.968990000000005"
Malappuram,Kondotty,18330,G.M.L.P.S. Melangadi,,1 - 4,Kondotty(M),Malappuram,04832718080,32050200105,11.142569999999999,75.960599999999999,"http://maps.google.com/maps?q=11.142569999999999,75.960599999999999"
Malappuram,Kondotty,18332,G.M.L.P.S. Morayur,Malappuram,1 - 4,Morayur(P),Malappuram,04832776365,32050200807,11.133660000000001,76.015280000000004,"http://maps.google.com/maps?q=11.133660000000001,76.015280000000004"
Malappuram,Kondotty,18339,G.M.L.P.S. Nediyiruppu,,1 - 4,Kondotty(M),Malappuram,9656775117,32050200707,11.137528,75.983587,"http://maps.google.com/maps?q=11.137528,75.983587"
