School Code,School Name,Educational Sub-District,Local Body,Block Name,Latitude,Longitude,Maps Link,Verified (Y/N),Corrected Latitude,Corrected Longitude,Notes
48203,GLPS Chemrakattur,Areacode,Areacode(P),Areacode,11.20933,76.03961,"http://maps.google.com/maps?q=11.20933,76.039609999999996",,,,
48214,GLPS Kozhakottur,Areacode,Areacode(P),Areacode,11.22002,76.04539,"http://maps.google.com/maps?q=11.22002,76.045389999999998",,,,
48202,GMLPS Areacode West,Areacode,Areacode(P),Areacode,11.23918,76.048717,"http://maps.google.com/maps?q=11.239179999999999,76.048716999999996",,,,
48224,GMLPS Puthalam,Areacode,Areacode(P),Areacode,11.226101,76.054243,"http://maps.google.com/maps?q=11.226101,76.054243",,,,
48237,GMUPS Areacode,Areacode,Areacode(P),Areacode,11.23652,76.05182,"http://maps.google.com/maps?q=11.236520000000001,76.051820000000006",,,,
48244,GMUPS Mundambra,Areacode,Areacode(P),Areacode,11.22539,76.02762,"http://maps.google.com/maps?q=11.225390000000001,76.027619999999999",,,,
48219,GLPS Palappatta,Areacode,Edavanna(P),Areacode,11.213015,76.120174,"http://maps.google.com/maps?q=11.213015,76.120174000000006",,,,
48205,G L P S Chengara,Areacode,Kavannur(P),Areacode,11.17579,76.07964,"http://maps.google.com/maps?q=11.175789999999999,76.079639999999998",,,,
48210,GLPS Kavanur,Areacode,Kavannur(P),Areacode,11.197194,76.055282,"http://maps.google.com/maps?q=11.197194,76.055282000000005",,,,
48226,GLPS Thavarapparamba,Areacode,Kavannur(P),Areacode,11.189739,76.048509,"http://maps.google.com/maps?q=11.189738999999999,76.048508999999996",,,,
48221,G L P S Pathanapuram,Areacode,Keezhuparamba(P),Areacode,11.24532,76.04459,"http://maps.google.com/maps?q=11.24532,76.044589999999999",,,,
48213,GLPS Kizhuparamba South,Areacode,Keezhuparamba(P),Areacode,11.24387,76.01281,"http://maps.google.com/maps?q=11.243869999999999,76.012810000000002",,,,
48215,GLPS Kuniyil,Areacode,Keezhuparamba(P),Areacode,11.25558,76.01938,"http://maps.google.com/maps?q=11.25558,76.019379999999998",,,,
48216,GLPS Kuniyil South,Areacode,Keezhuparamba(P),Areacode,11.24197,76.02106,"http://maps.google.com/maps?q=11.24197,76.021060000000006",,,,
48212,GMLPS Kizhuparamba,Areacode,Keezhuparamba(P),Areacode,11.24977,76.01347,"http://maps.google.com/maps?q=11.24977,76.013469999999998",,,,
48245,G U P S Odakkayam,Areacode,Urangattiri(P),Areacode,11.274431,76.128997,"http://maps.google.com/maps?q=11.274431,76.128996999999998",,,,
48217,GLPS Kuthuparamba,Areacode,Urangattiri(P),Areacode,11.22863,76.07874,"http://maps.google.com/maps?q=11.228630000000001,76.078739999999996",,,,
48222,GLPS Pavanna,Areacode,Urangattiri(P),Areacode,11.2204,76.09844,"http://maps.google.com/maps?q=11.2204,76.098439999999997",,,,
48225,GLPS Thachanna,Areacode,Urangattiri(P),Areacode,11.2406,76.07077,"http://maps.google.com/maps?q=11.240600000000001,76.070769999999996",,,,
48227,GLPS Thencheri,Areacode,Urangattiri(P),Areacode,11.23171,76.09292,"http://maps.google.com/maps?q=11.23171,76.092920000000007",,,,
48238,GUPS Chundathumpoyil,Areacode,Urangattiri(P),Areacode,11.282532,76.067241,"http://maps.google.com/maps?q=11.282532,76.067240999999996",,,,
48242,GUPS Maithra,Areacode,Urangattiri(P),Areacode,11.22801,76.06381,"http://maps.google.com/maps?q=11.228009999999999,76.063810000000004",,,,
48243,GUPS Moorkanad,Areacode,Urangattiri(P),Areacode,11.24091,76.05748,"http://maps.google.com/maps?q=11.24091,76.057479999999998",,,,
19205,G. L. P. S. Chiyanur,Edappal,Alamcode(P),Perumpadappa,10.73833,76.0303,"http://maps.google.com/maps?q=10.738329999999999,76.030299999999997",,,,
19251,G. U. P. S. Othalur,Edappal,Alamcode(P),Perumpadappa,10.71227,76.0475,"http://maps.google.com/maps?q=10.71227,76.047499999999999",,,,
19063,G.H. S. S. Kokkur,Edappal,Alamcode(P),Perumpadappa,10.730907,76.060525,"http://maps.google.com/maps?q=10.730907,76.060524999999998",,,,
19206,G. L. P. S. Edappal,Edappal,Edappal(P),Ponnani,10.78845,75.99628,"http://maps.google.com/maps?q=10.788449999999999,75.996279999999999",,,,
19222,G. L. P. S. Perumparamba,Edappal,Edappal(P),Ponnani,10.8015,75.99547,"http://maps.google.com/maps?q=10.801500000000001,75.995469999999997",,,,
19223,G. L. P. S. Polpakkara,Edappal,Edappal(P),Ponnani,10.792126,75.985552,"http://maps.google.com/maps?q=10.792126,75.985551999999998",,,,
19227,G. L. P. S. Thuyyam,Edappal,Edappal(P),Ponnani,10.78511,75.98425,"http://maps.google.com/maps?q=10.78511,75.984250000000003",,,,
19246,G. M. U. P. S. Edappal,Edappal,Edappal(P),Ponnani,10.78435,76.00155,"http://maps.google.com/maps?q=10.78435,76.001549999999995",,,,
19249,G. U. P. S. Kololamba,Edappal,Edappal(P),Ponnani,10.782252,75.947046,"http://maps.google.com/maps?q=10.782252,75.947046",,,,
19243,Govt L.P.School Kololomba,Edappal,Edappal(P),Ponnani,10.75936,75.99509,"http://maps.google.com/maps?q=10.759359999999999,75.995090000000005",,,,
19034,G. H. S. S. Kadanchery,Edappal,Kalady(P),Ponnani,10.82585,75.98763,"http://maps.google.com/maps?q=10.825850000000001,75.987629999999996",,,,
19208,G. L. P. S. Kaladi,Edappal,Kalady(P),Ponnani,10.81377,76.01296,"http://maps.google.com/maps?q=10.81377,76.012960000000007",,,,
19218,G. L. P. S. Nariparamba,Edappal,Kalady(P),Ponnani,10.815314,75.964247,"http://maps.google.com/maps?q=10.815314000000001,75.964247",,,,
19253,G. U. P. S. Pothanur,Edappal,Kalady(P),Ponnani,10.821579,75.984728,"http://maps.google.com/maps?q=10.821579,75.984728000000004",,,,
19214,G. L. P. S. Mookkuthala,Edappal,Nannamukku(P),Perumpadappa,10.73319,76.01244,"http://maps.google.com/maps?q=10.73319,76.012439999999998",,,,
19220,G. M. L. P. S. Pallikara,Edappal,Nannamukku(P),Perumpadappa,10.727149,76.029348,"http://maps.google.com/maps?q=10.727149000000001,76.029347999999999",,,,
19233,G. M. L. P. S. Vadakkummuri,Edappal,Nannamukku(P),Perumpadappa,10.737365,76.010027,"http://maps.google.com/maps?q=10.737365,76.010026999999994",,,,
19210,Padikkal KalyaniAMMA Memorial G L P S Kallurma,Edappal,Nannamukku(P),Perumpadappa,10.71287,76.01779,"http://maps.google.com/maps?q=10.712870000000001,76.017790000000005",,,,
19231,Uliyathu Aboobacker Memmorial  G. L. P. S. Vadakkummuri,Edappal,Nannamukku(P),Perumpadappa,10.72425,75.99978,"http://maps.google.com/maps?q=10.72425,75.999780000000001",,,,
19244,G. H. W. L. P. S. Maravancheri,Edappal,Tavanur(P),Ponnani,10.831856,75.997436,"http://maps.google.com/maps?q=10.831856,75.997435999999993",,,,
19229,G. L. P. S. Thrikkanapuram,Edappal,Tavanur(P),Ponnani,10.839666,75.988633,"http://maps.google.com/maps?q=10.839665999999999,75.988632999999993",,,,
19254,K. M. G. U. P. S. Thavanur,Edappal,Tavanur(P),Ponnani,10.85258,75.98382,"http://maps.google.com/maps?q=10.85258,75.983819999999994",,,,
19216,G. B. L. P. S. Mudur,Edappal,Vattamkulam(P),Ponnani,10.80417,76.02645,"http://maps.google.com/maps?q=10.804169999999999,76.026449999999997",,,,
19235,G. J. B. S. Vattamkulam,Edappal,Vattamkulam(P),Ponnani,10.785135,76.01586,"http://maps.google.com/maps?q=10.785135,76.015860000000004",,,,
19225,G. L. P. S. Sukapuram,Edappal,Vattamkulam(P),Ponnani,10.77321,76.01494,"http://maps.google.com/maps?q=10.773210000000001,76.014939999999996",,,,
18218,GLPS Parapurathparamba,Kizhisseri,Cheekkode(P),Areacode,11.236104,76.008255,"http://maps.google.com/maps?q=11.236103999999999,76.008255000000005",,,,
18220,GLPS Ponnad,Kizhisseri,Cheekkode(P),Areacode,11.224771,75.971171,"http://maps.google.com/maps?q=11.224771,75.971170999999998",,,,
18228,GLPS Vilayil,Kizhisseri,Cheekkode(P),Areacode,11.22543,76.00992,"http://maps.google.com/maps?q=11.225429999999999,76.009919999999994",,,,
18230,GLPS Vilayil Parappur,Kizhisseri,Cheekkode(P),Areacode,11.218949,76.000931,"http://maps.google.com/maps?q=11.218949,76.000930999999994",,,,
