School Name,Educational Sub-District,Block Name,DB Latitude,DB Longitude,Google Matched Name,Google Latitude,Google Longitude,Distance Meters,Name Similarity,Management Mismatch,Notes
GLPS Kizhisseri,Kizhisseri,Areacode,11.17617,75.99761,GLPS Kuzhimanna Kuzhiyamparamb,11.1713603,76.0180766,2295.8,0.417,,LOW_CONFIDENCE_MATCH
GLPS Valamangalam,Kizhisseri,Areacode,11.13874,76.05661,GLPS Kuzhimanna Kuzhiyamparamb,11.1713603,76.0180766,5552.3,0.385,,LOW_CONFIDENCE_MATCH
GLPS Vilayil Parappur,Kizhisseri,Areacode,11.218949,76.000931,VPAUPS VILAYIL PARAPPUR,11.2094708,76.00346189999999,1089.5,1.0,GOVT vs AIDED,LOW_CONFIDENCE_MATCH (different Govt/Aided institution)
GLPS Pulpatta,Kizhisseri,Areacode,11.14741,76.08168,GLPS Kuzhimanna Kuzhiyamparamb,11.1713603,76.0180766,7432.2,0.364,,LOW_CONFIDENCE_MATCH
GLPS Parathakkad,Kizhisseri,Kondotty,11.17908,75.97024,GLPS Kuzhimanna Kuzhiyamparamb,11.1713603,76.0180766,5288.5,0.32,,LOW_CONFIDENCE_MATCH
G.M.L.P.S. Akkode,Kondotty,Kondotty,11.23451,75.91487,GMLPS Kanjeeraparamba,11.144917999999999,75.9519869,10753.5,0.19,,LOW_CONFIDENCE_MATCH
G.M.L.P.S. Nediyiruppu,Kondotty,,11.137528,75.983587,G M U P SCHOOL KONDOTTY,11.147693600000002,75.9670577,2128.3,0.316,,LOW_CONFIDENCE_MATCH
G.L.P.S. Nediyiruppu,Kondotty,,11.1326,75.99311,GLPS,11.2498994,75.959818,13539.2,0.0,,LOW_CONFIDENCE_MATCH
G.L.P.S. Panikkarapuraya,Kondotty,Kondotty,11.24498,75.96972,G.L.P School,11.0476879,76.07230249999999,24627.6,0.0,,LOW_CONFIDENCE_MATCH
G.W.U.P.S. Nediyiruppu,Kondotty,,11.1077,75.99778,G M U P SCHOOL KONDOTTY,11.147693600000002,75.9670577,5568.8,0.316,,LOW_CONFIDENCE_MATCH
G.L.P.S. Arimbra Melmuri,Kondotty,Malappuram,11.106578,76.024071,GLPS,11.2498994,75.959818,17409.8,0.0,,LOW_CONFIDENCE_MATCH
G.L.P.S. Kottakkal,Malappuram,,10.99879,76.00815,G.L.P School,11.0476879,76.07230249999999,8865.0,0.0,,LOW_CONFIDENCE_MATCH
G.M.L.P.S. Kolmanna,Malappuram,,11.050419,76.057563,GMLPS Pookolathur,11.157582099999999,76.0568442,11916.3,0.421,,LOW_CONFIDENCE_MATCH
G.L.P.S. Paranki Moochikkal,Malappuram,Malappuram,11.006385,76.041245,G.L.P School,11.0476879,76.07230249999999,5708.1,0.0,,LOW_CONFIDENCE_MATCH
G.L.P.S. Karuvambrum West,Manjeri,,11.127181,76.101832,GLP School,11.120984600000002,76.1147517,1569.0,0.0,,LOW_CONFIDENCE_MATCH
K.M Musthafa Memorial G.L.P.S. Mundengara,Manjeri,Areacode,11.223766,76.140821,H M Yatheem Khana Manjeri,11.120300199999999,76.1241715,11647.4,0.533,,LOW_CONFIDENCE_MATCH
G.M.L.P.S. Karakunnu,Manjeri,Wandoor,11.169844,76.131066,Government Muslim LP School,11.1695932,76.13100080000001,28.8,0.133,,LOW_CONFIDENCE_MATCH
