School Name,Educational Sub-District,Block Name,School Code,Class 1 Total,Class 2 Total,Class 3 Total,Class 4 Total,Total (Classes 1-4)
GUPS Klari,Vengara,Vengara,19866,205,191,218,188,802
GLPS Kizhisseri,Kizhisseri,Areacode,18204,152,209,172,178,711
CHAKKEERI AHAMMED KUTTY MEMORIAL G.M.U.P.S.CHERUR,Vengara,Vengara,19862,123,143,170,172,608
G. U. P. S. Ariyallur,Parappanangadi,Tirurangadi,19439,125,153,182,116,576
G. L. P. S. Kalpakancheri,Kuttippuram,Kuttippuram,19317,125,127,129,137,518
G.M.U.P.S. Melmuri,Malappuram,,18474,120,127,144,100,491
G.M.U.P.S. Ozhukur,Kondotty,Malappuram,18375,95,123,126,138,482
G M L P S Karathode,Vengara,Vengara,19828,124,100,139,91,454
GLPS Orakam Kizhumuri,Vengara,Vengara,19855,94,112,129,117,452
G. U. P. S. Chamravattam,Tirur,Tirur,19769,87,102,139,115,443
G.M.U.P.S. Irumbuzhi,Malappuram,Malappuram,18472,99,99,121,102,421
GLPS Olakara,Vengara,Tirurangadi,19833,111,92,106,95,404
GMLPS Edakkaparamba,Vengara,Vengara,19808,79,109,129,86,403
G. M. U. P. S. BP Angadi,Tirur,Tirur,19767,79,84,113,109,385
G. M. L. P. S. Cherumukku,Tanur,Tirurangadi,19602,73,94,99,109,375
G. M. U. P. S. Tirur,Tirur,,19779,78,80,109,108,375
G.L.P.S. Paranki Moochikkal,Malappuram,Malappuram,18440,76,98,108,85,367
G.L.P.S. Manjeri,Manjeri,,18532,84,98,92,91,365
GMLPS C.U. Campus,Vengara,Tirurangadi,19805,55,68,123,115,361
G.L.P.S. Pookottur Old,Malappuram,Malappuram,18443,83,97,108,68,356
G. U. P. S. Karingappara,Tanur,Tanur,19667,62,96,84,113,355
G L P S Padinhattummuri,Mankada,Mankada,18657,85,81,94,94,354
G H S Meenadathur,Tanur,Tanur,19671,67,68,93,125,353
G H S Kuruka,Vengara,Vengara,19868,67,80,106,95,348
G. M. U. P. S. Kakkad,Parappanangadi,,19441,64,76,100,104,344
GLPS Thavarapparamba,Areacode,Areacode,48226,82,95,88,78,343
G. L. P. S. Thirurangadi,Parappanangadi,,19414,80,75,75,95,325
G U P S Pullur,Manjeri,,18574,68,69,103,84,324
G.H.S. Chaliyappuram,Kondotty,Kondotty,18368,49,73,97,103,322
G.M.U.P.S. Chirayil,Kondotty,,18373,56,70,102,93,321
GHS Kolappuram,Vengara,Vengara,19867,72,74,92,82,320
GUPS AR Nagar,Vengara,Vengara,19859,69,88,100,62,319
G U P S Mankada Pallippuram,Mankada,Mankada,18664,80,97,75,65,317
GMLPS Orakam Kizhmuri,Vengara,Vengara,19824,65,71,94,81,311
G. L. P. S. Tanur,Tanur,,19664,72,79,81,78,310
G.M.L.P.S. Kidangazhi,Manjeri,,18523,67,77,93,66,303
G.M.U.P.S. Arimbra,Kondotty,Malappuram,18365,65,70,82,81,298
G.L.P.S. Pandallur,Manjeri,Malappuram,18541,66,72,77,75,290
GMLPS Perinthalmanna Central,Perinthalmanna,,18730,74,62,81,73,290
G.M.U.P.S. Kottakkal,Malappuram,,18473,65,70,85,69,289
G. H. S. Trikkulam,Parappanangadi,,19451,64,76,69,72,281
GLPS Kuzhimanna,Kizhisseri,Areacode,18205,53,61,90,76,280
G. L. P. S. K.Puram,Tanur,Tanur,19660,42,69,77,92,280
GMUPS Kizhisseri,Kizhisseri,Areacode,18235,63,67,65,81,276
GMLPS Kilinakode,Vengara,Vengara,19814,63,65,72,71,271
G.M.L.P.S. Morayur,Kondotty,Malappuram,18332,49,69,69,82,269
G. M. U. P. S. Kodinhi,Tanur,Tirurangadi,19669,40,65,78,86,269
G. M. L. P. S. Cheruvannur,Tanur,Tanur,19605,56,74,64,74,268
G.M.L.P.S. Nenmini,Melattur,Perinthalmanna,48317,63,66,70,69,268
G. M. L. P. S. Korad,Tanur,Tanur,19616,62,68,67,69,266
G. M. L. P. S. Parappanangadi Town,Parappanangadi,Tirurangadi,19434,68,69,57,68,262
G L P S Mankada,Mankada,Mankada,18618,59,68,65,69,261
G. L. P. S. Ozhur,Tanur,Tanur,19662,43,71,63,84,261
GMLPS Pookalathur,Kizhisseri,Areacode,18221,61,62,64,72,259
G.M.L.P.S. Chappanangadi,Malappuram,Malappuram,18447,56,66,65,70,257
GUPS Valiyora,Vengara,Vengara,19872,49,70,65,73,257
G.M.L.P.S. Irumbuzhi,Malappuram,Malappuram,18448,61,68,63,64,256
GHS CHERIYAM MANKADA,Mankada,Mankada,18150,52,73,58,64,247
GMUPS Kannamangalam,Vengara,Vengara,19864,52,70,59,64,245
GHSS Peruvallur,Vengara,Tirurangadi,19073,50,62,67,64,243
G.U.P.S. Ponmala,Malappuram,Malappuram,18477,51,62,59,70,242
G. L. P. S. Karaikkad,Kuttippuram,Kuttippuram,19319,49,55,72,61,237
G M L P S Pandallur,Manjeri,Malappuram,18542,57,53,65,59,234
G M L P S Vadakkangara,Mankada,Mankada,18645,47,63,68,56,234
GLPS Nottappuram,Vengara,Vengara,19826,44,60,68,56,228
G.L.P.S. Melmuri North,Malappuram,,18438,45,67,61,54,227
